game,ply,black,white,empty,rho,disc_diff,a1_minus_energy,b1_energy,b2_energy,d4_a1_occupation_energy,n_legal_moves,max_flip_count,mean_flip_count
27,31,16,19,29,0.546875,-3,3.875,3.375,2.875,29.875000000000004,13,4,1.4615384615384615
27,32,15,21,28,0.5625,-6,4.0,2.0,3.0,30.500000000000004,16,6,2.9375
27,33,17,20,27,0.578125,-3,3.875,2.875,1.875,31.375,10,4,2.1
27,34,15,23,26,0.59375,-8,6.75,2.25,4.25,32.25,15,6,3.2
27,35,21,18,25,0.609375,3,3.1250000000000004,2.625,4.625,34.12500000000001,9,5,2.5555555555555554
27,36,17,23,24,0.625,-6,3.7500000000000004,1.25,5.25,34.25,14,5,2.2142857142857144
27,37,20,21,23,0.640625,-1,2.875,2.875,3.875,35.37499999999999,12,4,2.5
27,38,17,25,22,0.65625,-8,6.75,7.75,2.25,36.75,12,5,2.1666666666666665
27,39,19,24,21,0.671875,-5,4.875000000000001,11.875,1.875,38.37499999999999,9,6,2.4444444444444446
27,40,18,26,20,0.6875,-8,6.25,8.75,2.25,38.75,10,4,2.1
27,41,22,23,19,0.703125,-1,10.625000000000002,10.125,3.625,40.625,10,6,2.7
27,42,17,29,18,0.71875,-12,8.75,11.25,8.75,41.75,10,4,2.4
27,43,21,26,17,0.734375,-5,6.125,10.625,8.625,43.12500000000001,8,5,2.625
27,44,16,32,16,0.75,-16,9.499999999999998,8.0,7.0,45.00000000000001,10,4,2.4
27,45,21,28,15,0.765625,-7,11.624999999999998,11.125,3.625,46.625,5,7,3.2
27,46,14,36,14,0.78125,-22,11.5,5.0,3.5,48.5,8,4,2.25
27,47,18,33,13,0.796875,-15,10.749999999999998,5.0,6.75,48.75,2,4,3.5
27,48,15,37,12,0.8125,-22,16.375000000000004,4.125,5.375,49.37500000000001,8,4,2.125
27,49,18,35,11,0.828125,-17,15.625,4.125,6.625,49.62500000000001,1,1,1.0
27,50,17,37,10,0.84375,-20,16.0,4.5,6.0,50.5,8,6,3.5
27,51,24,31,9,0.859375,-7,12.750000000000002,0.5,5.75,51.25,1,4,4.0
27,52,20,36,8,0.875,-16,17.5,0.5,2.5,51.99999999999999,7,9,5.428571428571429
27,53,27,30,7,0.890625,-3,14.749999999999998,0.5,6.75,53.24999999999999,2,1,1.0
27,54,26,32,6,0.90625,-6,13.375,1.125,5.375,54.37499999999999,5,5,3.6
27,55,32,27,5,0.921875,5,10.625000000000002,5.125,2.625,55.62500000000001,0,0,0.0
27,56,32,27,5,0.921875,5,10.625000000000002,5.125,2.625,55.62500000000001,4,10,4.5
27,57,43,17,4,0.9375,26,20.000000000000004,2.0,6.0,57.0,0,0,0.0
27,58,43,17,4,0.9375,26,20.000000000000004,2.0,6.0,57.0,3,6,3.6666666666666665
27,59,46,15,3,0.953125,31,23.625,2.125,2.625,58.62500000000001,0,0,0.0
27,60,46,15,3,0.953125,31,23.625,2.125,2.625,58.62500000000001,2,6,4.0
27,61,49,13,2,0.96875,36,31.874999999999996,1.625,0.875,60.37500000000001,1,1,1.0
27,62,48,15,1,0.984375,33,27.749999999999996,1.5,1.75,62.24999999999999,1,5,5.0
27,63,54,10,0,1.0,44,35.0,7.0,1.0,64.0,0,0,0.0
28,0,2,2,60,0.0625,0,0.0,0.0,4.0,4.0,4,1,1.0
28,1,4,1,59,0.078125,3,1.1249999999999998,0.125,1.125,4.125000000000001,3,1,1.0
28,2,3,3,58,0.09375,0,0.0,0.5,0.5,4.499999999999999,5,1,1.0
28,3,5,2,57,0.109375,3,1.2500000000000002,0.5,1.75,4.750000000000001,4,2,1.25
28,4,4,4,56,0.125,0,0.37499999999999994,1.125,0.375,5.375,6,1,1.0
28,5,6,3,55,0.140625,3,1.2500000000000002,2.0,1.75,6.25,6,2,1.5
28,6,5,5,54,0.15625,0,0.37499999999999994,1.125,1.375,7.375,11,2,1.2727272727272727
28,7,7,4,53,0.171875,3,2.125,1.125,3.125,8.125,7,3,1.8571428571428572
28,8,6,6,52,0.1875,0,0.37499999999999994,1.125,7.375,9.375,11,2,1.4545454545454546
28,9,9,4,51,0.203125,5,1.4999999999999998,3.25,3.5,9.499999999999998,7,3,1.8571428571428572
28,10,7,7,50,0.21875,0,0.6250000000000001,1.375,3.625,9.625,10,2,1.6
28,11,10,5,49,0.234375,5,4.499999999999999,0.75,4.5,11.0,9,4,1.7777777777777777
28,12,9,7,48,0.25,2,4.625,0.875,4.625,11.125,11,2,1.1818181818181819
28,13,11,6,47,0.265625,5,5.749999999999999,0.5,5.75,12.750000000000002,7,4,2.5714285714285716
28,14,9,9,46,0.28125,0,5.125000000000001,1.375,1.625,13.124999999999998,10,4,1.6
28,15,12,7,45,0.296875,5,8.000000000000002,0.25,2.0,13.5,7,6,3.0
28,16,10,10,44,0.3125,0,5.125000000000001,0.375,1.625,14.125,11,3,1.7272727272727273
28,17,12,9,43,0.328125,3,4.750000000000001,0.5,1.75,14.749999999999998,11,6,2.727272727272727
28,18,11,11,42,0.34375,0,6.125,0.875,0.625,15.124999999999998,10,3,1.4
28,19,13,10,41,0.359375,3,6.499999999999999,1.25,1.0,16.0,11,7,2.727272727272727
28,20,12,12,40,0.375,0,8.625,0.375,0.625,16.625,11,3,1.4545454545454546
28,21,14,11,39,0.390625,3,7.249999999999999,1.0,1.25,16.75,11,7,2.909090909090909
28,22,13,13,38,0.40625,0,9.125,0.875,1.125,17.625,10,5,1.7
28,23,19,8,37,0.421875,11,8.5,2.25,4.0,17.999999999999996,9,5,3.3333333333333335
28,24,16,12,36,0.4375,4,1.875,2.625,3.375,19.874999999999996,10,5,2.5
28,25,19,10,35,0.453125,9,4.0,2.75,3.5,20.000000000000004,10,4,2.5
28,26,17,13,34,0.46875,4,4.125000000000001,3.875,6.625,21.125,13,4,2.0
28,27,20,11,33,0.484375,9,8.25,3.0,6.25,21.750000000000004,11,4,2.3636363636363638
28,28,18,14,32,0.5,4,11.624999999999998,1.875,3.125,23.124999999999996,14,5,2.642857142857143
28,29,23,10,31,0.515625,13,7.000000000000001,4.75,5.5,23.999999999999996,11,5,2.272727272727273
28,30,21,13,30,0.53125,8,8.125,7.375,4.125,25.625,11,4,2.3636363636363638
28,31,23,12,29,0.546875,11,7.749999999999999,4.5,4.75,26.750000000000004,11,5,2.272727272727273
28,32,19,17,28,0.5625,2,4.625,10.875,2.625,27.125000000000004,11,4,2.4545454545454546
28,33,23,14,27,0.578125,9,4.0,15.25,2.0,28.999999999999996,11,7,2.8181818181818183
28,34,20,18,26,0.59375,2,1.1249999999999998,11.375,2.125,30.125,11,6,2.8181818181818183
28,35,24,15,25,0.609375,9,2.875,7.375,3.875,31.874999999999996,9,6,3.111111111111111
28,36,23,17,24,0.625,6,3.2499999999999996,5.25,4.25,32.75,12,6,2.5
28,37,25,16,23,0.640625,9,3.1250000000000004,4.625,4.625,34.12500000000001,9,5,2.7777777777777777
28,38,24,18,22,0.65625,6,3.5,4.0,5.5,35.5,9,6,2.888888888888889
28,39,27,16,21,0.671875,11,4.625,8.625,5.625,36.12499999999999,7,5,2.857142857142857
28,40,26,18,20,0.6875,8,4.0,10.0,4.0,36.99999999999999,9,6,3.4444444444444446
28,41,32,13,19,0.703125,19,9.125,8.625,10.125,38.12499999999999,6,4,3.1666666666666665
28,42,30,16,18,0.71875,14,7.249999999999999,11.75,6.75,39.75,7,4,2.4285714285714284
28,43,34,13,17,0.734375,21,12.625,14.125,2.625,41.125,6,4,2.6666666666666665
28,44,33,15,16,0.75,18,9.875,14.125,3.875,41.375,6,3,2.1666666666666665
28,45,36,13,15,0.765625,23,14.25,12.5,4.25,43.25,7,5,3.2857142857142856
28,46,34,16,14,0.78125,18,10.875,17.125,5.375,44.875,4,3,1.75
28,47,37,14,13,0.796875,23,17.5,17.25,2.5,46.49999999999999,6,6,4.5
28,48,33,19,12,0.8125,14,10.625000000000002,16.375,2.625,47.62499999999999,3,2,1.6666666666666667
28,49,36,17,11,0.828125,19,10.875,18.375,2.875,47.875,6,6,3.6666666666666665
28,50,30,24,10,0.84375,6,2.75,22.25,2.75,49.75,4,7,3.5
28,51,33,22,9,0.859375,11,3.1250000000000004,21.125,2.625,51.12499999999999,5,4,2.6
28,52,29,27,8,0.875,2,1.875,26.125,6.375,51.875,3,4,2.3333333333333335
28,53,34,23,7,0.890625,11,6.125,18.125,5.625,53.125,4,3,2.0
28,54,32,26,6,0.90625,6,4.750000000000001,20.25,6.75,54.75,3,11,4.666666666666667
28,55,44,15,5,0.921875,29,19.500000000000004,6.25,2.5,55.5,3,4,3.3333333333333335
28,56,40,20,4,0.9375,20,13.875,5.625,1.875,57.37499999999999,1,1,1.0
28,57,42,19,3,0.953125,23,15.124999999999998,4.125,3.125,59.12500000000001,3,8,5.333333333333333
