obf,edax_d20_score,edax_d20_depth_observed,edax_d20_best_move,parse_ok
------------------XOOX-----XOX----XXOO----XOO------------------- X;,-12,20,d7,1
------------------XOO-----XOXXX---OOOX----XO-------------------- X;,-12,20,f6,1
------------O-----XXOX----XXOX-----XOX----XO-------------------- X;,-11,20,f2,1
-----------X------XXO-----XXOO----XXOX-----OO------------------- X;,-7,20,g4,1
------------------XX-----XXXXO----OOOO-----OOO------------------ X;,-8,20,c6,1
------------X------OXX----OOXX----XOO-----XOO------------------- X;,-11,20,f5,1
-----------OX-----XOXX----XOXX----XOO-------O------------------- X;,-10,20,f6,1
-----------X-X----XXX-----XXOO-----OOO-----O-O------------------ X;,-12,20,g4,1
------------X------XXX----XOXX---XOOO----O--O------------------- X;,-11,20,f5,1
------------------XX-----XXXXXX---OOO------OOO------------------ X;,-16,20,c6,1
------------X-----OOXX---XXOXX----XOO-------O------------------- X;,-15,20,d2,1
------------------XOOX----XOXX----OOOX----XO-------------------- X;,-9,20,d2,1
----------XO------XOOX----XOXX----XOO-------O------------------- X;,-8,20,d6,1
------------------XOOX----XXOX----XXOX-----OO------------------- X;,-8,20,c2,1
-------------X----XOXX----XXOX----XOOO------O------------------- X;,-11,20,e7,1
-----------X------XOXX----XOOX----XOOO------O------------------- X;,-12,20,e2,1
------------------XOOX----XOXX----XOX-----OOO------------------- X;,-10,20,d2,1
------------------XOOX----XOOX----XXOO----X-O------------------- X;,-12,20,d6,1
-----------O------XOX-----OOO-----OXXXX---XX-------------------- X;,-15,20,b6,1
------------------XXO-X---OOOX----OOX-----XXX------------------- X;,-18,20,d2,1
-------------X-----OXX----OOOX----XOOO-----XO------------------- X;,-10,20,c6,1
----------X-------XXO-----XXOO----XXOX-----OO------------------- X;,-9,20,g4,1
-------------X----XXXX---OOOXX----XOO-------O------------------- X;,-10,20,c6,1
-------------X-----OXX----OOOX----XXOO----X-O------------------- X;,-14,20,d6,1
--------------------XXX--XXXXX-----OOO----OOO------------------- X;,-15,20,f6,1
-------------X----OOXX---XXOXX----XOO-------O------------------- X;,-13,20,e2,1
----------X--X----XXX-----XXOO-----OOO-----O-O------------------ X;,-13,20,g4,1
------------------XOO-----XXOXX---XXOX-----OO------------------- X;,-9,20,c2,1
------------------XXXX---XXOXX----OOO----O--O------------------- X;,-11,20,f6,1
----------X--------XOX---XXOXX---OOOO-------O------------------- X;,-14,20,d2,1
-------------------OOX---XXOXX----XOX-----OOO------------------- X;,-12,20,d2,1
-----------X------OX-------OOX----XXOXX---XOO------------------- X;,-14,20,e3,1
-----------X-------OXX---XXOOX----XOOO------O------------------- X;,-13,20,c3,1
-------------------OOX---XXOOX----XXOO----X-O------------------- X;,-15,20,d6,1
------------X------XXX---XXOXX----OOO----O--O------------------- X;,-18,20,d6,1
----------X--------X------OOXX----XOOXX---XOO------------------- X;,-18,20,c3,1
-----------X-------OXX----OOXX----XXOX------OO------------------ X;,-9,20,d6,1
------------X-----XXXX----XXOX-----OOO-----O--O----------------- X;,-8,20,c6,1
------------XX----XXX-----XXOO-----OOO-----O-O------------------ X;,-11,20,g4,1
-----------X-------OXX----OOOX----XXOO----X-O------------------- X;,-13,20,d6,1
-----------X-------OXX---XXXOX----XOOO------O------------------- X;,-13,20,c3,1
-------------------OXX---XXOOX-----OOOX----XO------------------- X;,-15,20,c3,1
------------X-----XXX-----XXXO-----XXO-----OOO------------------ X;,-15,20,g3,1
-----------------X-OX----OOOO-----OXXXX---XX-------------------- X;,-14,20,b6,1
-------------------OXXX--XXOOX-----OXO-----XO------------------- X;,-15,20,c3,1
------------------XXX----OOOO-----XXXXX---XX-------------------- X;,-16,20,b5,1
-----------X-------XOX-----XOX----XXOO----XOO------------------- X;,-17,20,f2,1
-----------X-------X------OOOX----XOXXX---XOO------------------- X;,-17,20,c3,1
----------X--------XX-----OOX-----OOXXX---XXO------------------- X;,-22,20,f6,1
-------------------O-----OXXXX---OXXXO---OOO-------------------- X;,1,20,e2,1
-----------XO-----XXX-----OXXO-----XX------OOO------------------ X;,4,20,b4,1
--------------------OX-O--OXXXO---XXXOO-----O------------------- X;,6,20,d3,1
------------------XO----OOOOOO---OXXXX-----O-------------------- X;,6,20,b3,1
-----------OX------XXX----OXXO-----XO------OO-----O------------- X;,10,20,f6,1
------------------XO-----XXXXO---OOOOOO----O-------------------- X;,12,20,e3,1
--------------------OX----XOX-O---OOOOO-----OOO----------------- X;,6,20,e7,1
-------------------X-------XX-----OXXO----O-OO----OOOO---------- X;,10,20,b5,1
-------------------X-------XX----OOXXO----O-OO-----OOO---------- X;,7,20,a5,1
------------------O-OX----XOX-O----XOOO-----OOO----------------- X;,10,20,d3,1
-------------------OOX----XXO-O----XXOO-----OOO----------------- X;,13,20,c3,1
------------------XO--O--O-XXO---OOXO----OOO-------------------- X;,15,20,e3,1
------------------OXX------XX-----OXOO----OO------OOO----------- X;,11,20,b3,1
------------------O-OX----XOXXX---OXO-O--O--O------------------- X;,10,20,d3,1
------------------XO-O---XXXXX---O-OOOO----O-------------------- X;,14,20,e3,1
-----------------OO-OX----OXXXX---XOO-O-----O------------------- X;,14,20,c6,1
------------------O-OX----OXXXX---OXO-O---O-O------------------- X;,18,20,f5,1
------------------XXXO---XXXO----O-OOOO----O-------------------- X;,14,20,f4,1
-----------O------XOX----XXOX----O-OOOO----O-------------------- X;,18,20,c5,1
-----------------OXXX----OOXX----O-OOOO----O-------------------- X;,19,20,a4,1
----------O-------XOX----XXXO----O-OOOO----O-------------------- X;,18,20,d2,1
-----------XO-----XO------OXOO---OOOO-------O-------O----------- X;,25,20,e3,1
---------O--------OXX----XXOX----O-OOOO----O-------------------- X;,32,20,b3,1
------------------XO--O--XXXXO---O-OOO-----O--O----------------- X;,15,20,f6,1
-----------OX-------XX----OOXO-----XO------OOO----O------------- X;,17,20,d3,1
-------------O-----XO------XX-----OXOO----OO------OOO----------- X;,23,20,e2,1
-------------------XXX----XOOO----OOOO------OOO----------------- X;,4,20,g4,1
------------------XXX------XOOO---OOOO---OOO-------------------- X;,5,20,d7,1
------------------XXX-O----XOO----OOOO---OOO-------------------- X;,6,20,g4,1
------------------XXXO-----XOO----OOOO---OOO-------------------- X;,7,20,g4,1
-------------O-----XOX----XOX-----OOOO------OOO----------------- X;,10,20,d6,1
-----------O-------OXX----XOX-----OOOO------OOO----------------- X;,14,20,c3,1
------------O------XOX----XOO-----OOOO------OOO----------------- X;,15,20,f4,1
----------O--------OXX----XOO-----OOOO------OOO----------------- X;,17,20,c3,1
--------------O----XXO----XOO-----OOOO------OOO----------------- X;,30,20,f4,1
---O--------O-------XOO---XXX------XXO------OOO----------------- X;,5,20,f7,1
------------X-------XOO---XXX-----OOOO------OOO----------------- X;,9,20,d6,1
-------------------X-------XX---OOOOOO----O-OO----O--O---------- X;,10,20,d6,1
-------------------X------OXX----XOOXO----O-OO----O--O---------- X;,13,20,b6,1
-----------X-----OOX-------OXX----OXO----OOO-O------------------ X;,12,20,f5,1
------------X-----O-XOO---XOX------XOO------OOO----------------- X;,13,20,c5,1
-----------X-----OOX--O----XXO----OXO----OOO-------------------- X;,17,20,g4,1
------------O-----XXOX----XXO------XXO------OOO----------------- X;,8,20,f2,1
------------------XXXX-----OOOO---OXX----OOO-------------------- X;,10,20,f5,1
------------------XXXX----XXO-----OOOO------OOO----------------- X;,9,20,f4,1
------------------XXXX-----OXX----OXO----OOO-O------------------ X;,9,20,c4,1
----------O-------XOXX----XXO------XXO------OOO----------------- X;,15,20,d2,1
------------------XXXXO----OXO----OXO----OOO-------------------- X;,14,20,g4,1
