parent_obf,n_children,bytes,mean_lb,mean_ub,min_lb,max_ub,median_lb,median_ub,exact_count,exact_fraction,parse_errors,n_filtered_out
-------------------OOO----XOOX----OXX----OOOO------------------- X;,457510,40925510,7.273012611746191,63.83892811086096,-64,64,4,64,457510,1.0,0,279
-------------------OOO----XOOX----XOX-----OOO------O------------ X;,1268474,113667605,5.85851345790296,63.939379127991586,-64,64,4,64,1268474,1.0,0,196
-------------------OOO----XOOX----XXO------OOO-----O------------ X;,1887326,169371425,5.454251146860691,63.97306665621095,-64,64,4,64,1887326,1.0,0,993
-------------------OOO----XOXX----OXO----OOOO------------------- X;,410125,36770379,6.650938128619323,63.804888753428834,-64,64,4,64,410125,1.0,0,1299
-------------------OOO----XOXX----XOXO-----OO-O----------------- X;,695447,62287802,5.63129037870607,63.94028013637272,-64,64,4,64,695447,1.0,0,155
-------------------OOO----XOXXO---XOXO-----OO------------------- X;,615874,55106856,6.50705826191721,63.91369013791782,-64,64,4,64,615874,1.0,0,93
-------------------OOO----XXOX----XOXO-----OO-O----------------- X;,2693310,242234959,5.252368275467733,63.979466158741474,-64,64,4,64,2693310,1.0,0,510
-------------------OOO----XXOX----XOXO----O-O-O----------------- X;,1049383,94123764,6.03450980242676,63.94467034438332,-64,64,4,64,1049383,1.0,0,1732
-------------------OOO----XXOXO---XOXO----O-O------------------- X;,626378,56133319,5.98287934761438,63.94169974041234,-64,64,4,64,626378,1.0,0,801
-------------------OOO----XXOXX---XXOO-----O--O----------------- X;,3298127,305187805,-63.69925475883736,-6.904870552286192,-64,64,-64,-4,3298127,1.0,0,18465
-------------------OOO----XXXO----XOOOO----OO------------------- X;,428033,38246802,6.9308581347699825,63.86111818481285,-64,64,4,64,428033,1.0,0,44
-------------------OOO----XXXO----XOOOO---O-O------------------- X;,400899,35839049,7.584249399474681,63.83662718041202,-64,64,4,64,400899,1.0,0,466
-------------------OOO----XXXO----XOXO-----OOO------------------ X;,487070,43705068,8.057482497382306,63.80244318065165,-64,64,4,64,487070,1.0,0,1583
-------------------OOO----XXXO----XOXO----O-OO------------------ X;,301880,27005100,8.45140453160196,63.71725851331655,-64,64,4,64,301880,1.0,0,299
-------------------OOO----XXXXO---XOXO-----OO------------------- X;,872159,78278195,6.055487588845612,63.95451288125216,-64,64,4,64,872159,1.0,0,2111
-------------------OOO----XXXXO---XOXO----O-O------------------- X;,499496,44785911,6.5348671460832515,63.92017954097731,-64,64,4,64,499496,1.0,0,1391
-------------------OOO---OXXXX----OXO-----OOO------------------- X;,418685,37515829,7.063515530768955,63.81565138469255,-64,64,4,64,418685,1.0,0,1349
-------------------OOX-----OOXO---XOOO----OOO------------------- X;,1141151,102131774,6.356738065339293,63.929989983797064,-64,64,4,64,1141151,1.0,0,99
-------------------OOX----XOOX----XXOX-----OO-------O----------- X;,2225211,205705574,-63.826019195483035,-4.63884009201824,-64,64,-64,-4,2225211,1.0,0,6978
-------------------OOX----XOXX----XOOX----XOO------------------- X;,1227883,113334262,-63.66706762777887,-4.855776975493593,-64,64,-64,-4,1227883,1.0,0,4263
-------------------OOX----XOXX----XXOX-----OOO------------------ X;,2654161,245506688,-63.81677524460649,-4.66271111662028,-64,64,-64,-4,2654161,1.0,0,9141
-------------------OOX----XXO-----XXXO----O-OOO----------------- X;,1054218,94407033,5.6552705417665035,63.970175049183375,-64,64,4,64,1054218,1.0,0,292
-------------------OOX----XXO-O----XXOO-----OOO----------------- X;,675971,60441341,7.437810201916946,63.92333694788682,-64,64,4,64,675971,1.0,0,177
-------------------OOX----XXOX----XXOO-----OOO------------------ X;,3064013,282900398,-63.78485926789475,-5.0259075271547475,-64,64,-64,-4,3064013,1.0,0,8577
-------------------OOX----XXOX----XXOO----XO-O------------------ X;,2408448,223341182,-63.77853455835459,-4.8625181029443025,-64,64,-64,-4,2408448,1.0,0,18564
-------------------OOX---XXOOX----XXOO----X-O------------------- X;,860946,79182174,-63.64370355399758,-5.0322970314049895,-64,64,-64,-4,860946,1.0,0,1939
-------------------OOX---XXOXX----XOX-----OOO------------------- X;,1920252,177092444,-63.74231402961695,-5.2594961494637165,-64,64,-64,-4,1920252,1.0,0,5612
