kind,top_left_r,top_left_c,len_path,sign_flips,loop_cosine,classification
rect_2x1,4,5,7,3,1.0000000000000002,trivial
rect_2x1,5,0,7,3,1.0000000000000002,trivial
rect_2x1,5,1,7,3,1.0000000000000002,trivial
rect_2x1,5,2,7,3,1.0000000000000002,trivial
rect_2x1,5,3,7,3,1.0000000000000002,trivial
rect_2x1,5,4,7,3,1.0000000000000002,trivial
rect_2x1,5,5,7,3,1.0000000000000002,trivial
rect_2x1,6,0,7,3,1.0000000000000002,trivial
rect_2x1,6,1,7,3,1.0000000000000002,trivial
rect_2x1,6,2,7,3,1.0000000000000002,trivial
rect_2x1,6,3,7,3,1.0000000000000002,trivial
rect_2x1,6,4,7,3,1.0000000000000002,trivial
rect_2x1,6,5,7,3,1.0000000000000002,trivial
rect_3x1,0,0,9,4,1.0000000000000002,trivial
rect_3x1,0,1,9,4,1.0000000000000002,trivial
rect_3x1,0,2,9,4,1.0000000000000002,trivial
rect_3x1,0,3,9,4,1.0000000000000002,trivial
rect_3x1,0,4,9,4,1.0000000000000002,trivial
rect_3x1,1,0,9,4,1.0000000000000002,trivial
rect_3x1,1,1,9,4,1.0000000000000002,trivial
rect_3x1,1,2,9,4,1.0000000000000002,trivial
rect_3x1,1,3,9,4,1.0000000000000002,trivial
rect_3x1,1,4,9,4,1.0000000000000002,trivial
rect_3x1,2,0,9,4,1.0000000000000002,trivial
rect_3x1,2,1,9,4,1.0000000000000002,trivial
rect_3x1,2,2,9,4,1.0000000000000002,trivial
rect_3x1,2,3,9,4,1.0000000000000002,trivial
rect_3x1,2,4,9,4,1.0000000000000002,trivial
rect_3x1,3,0,9,4,1.0000000000000002,trivial
rect_3x1,3,1,9,4,1.0000000000000002,trivial
rect_3x1,3,2,9,4,1.0000000000000002,trivial
rect_3x1,3,3,9,4,1.0000000000000002,trivial
rect_3x1,3,4,9,4,1.0000000000000002,trivial
rect_3x1,4,0,9,4,1.0000000000000002,trivial
rect_3x1,4,1,9,4,1.0000000000000002,trivial
rect_3x1,4,2,9,4,1.0000000000000002,trivial
rect_3x1,4,3,9,4,1.0000000000000002,trivial
rect_3x1,4,4,9,4,1.0000000000000002,trivial
rect_3x1,5,0,9,4,1.0000000000000002,trivial
rect_3x1,5,1,9,4,1.0000000000000002,trivial
rect_3x1,5,2,9,4,1.0000000000000002,trivial
rect_3x1,5,3,9,4,1.0000000000000002,trivial
rect_3x1,5,4,9,4,1.0000000000000002,trivial
rect_3x1,6,0,9,4,1.0000000000000002,trivial
rect_3x1,6,1,9,4,1.0000000000000002,trivial
rect_3x1,6,2,9,4,1.0000000000000002,trivial
rect_3x1,6,3,9,4,1.0000000000000002,trivial
rect_3x1,6,4,9,4,1.0000000000000002,trivial
rect_4x1,0,0,11,5,1.0000000000000002,trivial
rect_4x1,0,1,11,5,1.0000000000000002,trivial
rect_4x1,0,2,11,5,1.0000000000000002,trivial
rect_4x1,0,3,11,5,1.0000000000000002,trivial
rect_4x1,1,0,11,5,1.0000000000000002,trivial
rect_4x1,1,1,11,5,1.0000000000000002,trivial
rect_4x1,1,2,11,5,1.0000000000000002,trivial
rect_4x1,1,3,11,5,1.0000000000000002,trivial
rect_4x1,2,0,11,5,1.0000000000000002,trivial
rect_4x1,2,1,11,5,1.0000000000000002,trivial
rect_4x1,2,2,11,5,1.0000000000000002,trivial
rect_4x1,2,3,11,5,1.0000000000000002,trivial
rect_4x1,3,0,11,5,1.0000000000000002,trivial
rect_4x1,3,1,11,5,1.0000000000000002,trivial
rect_4x1,3,2,11,5,1.0000000000000002,trivial
rect_4x1,3,3,11,5,1.0000000000000002,trivial
rect_4x1,4,0,11,5,1.0000000000000002,trivial
rect_4x1,4,1,11,5,1.0000000000000002,trivial
rect_4x1,4,2,11,5,1.0000000000000002,trivial
rect_4x1,4,3,11,5,1.0000000000000002,trivial
rect_4x1,5,0,11,5,1.0000000000000002,trivial
rect_4x1,5,1,11,5,1.0000000000000002,trivial
rect_4x1,5,2,11,5,1.0000000000000002,trivial
rect_4x1,5,3,11,5,1.0000000000000002,trivial
rect_4x1,6,0,11,5,1.0000000000000002,trivial
rect_4x1,6,1,11,5,1.0000000000000002,trivial
rect_4x1,6,2,11,5,1.0000000000000002,trivial
rect_4x1,6,3,11,5,1.0000000000000002,trivial
rect_5x1,0,0,13,6,1.0000000000000002,trivial
rect_5x1,0,1,13,6,1.0000000000000002,trivial
rect_5x1,0,2,13,6,1.0000000000000002,trivial
rect_5x1,1,0,13,6,1.0000000000000002,trivial
rect_5x1,1,1,13,6,1.0000000000000002,trivial
rect_5x1,1,2,13,6,1.0000000000000002,trivial
rect_5x1,2,0,13,6,1.0000000000000002,trivial
rect_5x1,2,1,13,6,1.0000000000000002,trivial
rect_5x1,2,2,13,6,1.0000000000000002,trivial
rect_5x1,3,0,13,6,1.0000000000000002,trivial
rect_5x1,3,1,13,6,1.0000000000000002,trivial
rect_5x1,3,2,13,6,1.0000000000000002,trivial
rect_5x1,4,0,13,6,1.0000000000000002,trivial
rect_5x1,4,1,13,6,1.0000000000000002,trivial
rect_5x1,4,2,13,6,1.0000000000000002,trivial
rect_5x1,5,0,13,6,1.0000000000000002,trivial
rect_5x1,5,1,13,6,1.0000000000000002,trivial
rect_5x1,5,2,13,6,1.0000000000000002,trivial
rect_5x1,6,0,13,6,1.0000000000000002,trivial
rect_5x1,6,1,13,6,1.0000000000000002,trivial
rect_5x1,6,2,13,6,1.0000000000000002,trivial
rect_6x1,0,0,15,7,1.0000000000000002,trivial
rect_6x1,0,1,15,7,1.0000000000000002,trivial
rect_6x1,1,0,15,7,1.0000000000000002,trivial
rect_6x1,1,1,15,7,1.0000000000000002,trivial
rect_6x1,2,0,15,7,1.0000000000000002,trivial
rect_6x1,2,1,15,7,1.0000000000000002,trivial
rect_6x1,3,0,15,7,1.0000000000000002,trivial
rect_6x1,3,1,15,7,1.0000000000000002,trivial
rect_6x1,4,0,15,7,1.0000000000000002,trivial
rect_6x1,4,1,15,7,1.0000000000000002,trivial
rect_6x1,5,0,15,7,1.0000000000000002,trivial
rect_6x1,5,1,15,7,1.0000000000000002,trivial
rect_6x1,6,0,15,7,1.0000000000000002,trivial
rect_6x1,6,1,15,7,1.0000000000000002,trivial
rect_7x1,0,0,17,8,1.0000000000000002,trivial
rect_7x1,1,0,17,8,1.0000000000000002,trivial
rect_7x1,2,0,17,8,1.0000000000000002,trivial
rect_7x1,3,0,17,8,1.0000000000000002,trivial
rect_7x1,4,0,17,8,1.0000000000000002,trivial
rect_7x1,5,0,17,8,1.0000000000000002,trivial
rect_7x1,6,0,17,8,1.0000000000000002,trivial
rect_1x2,0,0,7,3,1.0000000000000002,trivial
rect_1x2,0,1,7,3,1.0000000000000002,trivial
rect_1x2,0,2,7,3,1.0000000000000002,trivial
