obf,side_to_move,n_empties,black_count,white_count,disc_diff_player_minus_opp,count_wthor,edax_score,edax_alpha,edax_beta,a1_minus_energy,b1_energy,b2_energy,e_energy,d4_a1_occupation_energy
-------------------OXX----OOXO----XOX-----XOO------O------------ X;,1,50,6,8,-2,610,2,-64,0,2.25,0.25,2.25,9.0,11.25
--------------------XX----OXXO----XXX----OOOO------O------------ X;,1,50,7,7,0,572,2,-64,0,4.750000000000001,0.25,0.75,8.0,9.75
--------------------XX----OXXO---OXXX-----OOO------O------------ X;,1,50,7,7,0,52,2,-64,0,5.000000000000001,0.0,1.0,8.0,10.0
-------------------OXX-----XXOO--OOOOO----XO-------------------- X;,1,50,5,9,-4,11,2,-64,0,3.5,1.0,1.5,7.0,10.0
------------------XX------OXXO-----XXO-----OOO------OO---------- X;,1,50,6,8,-2,1,4,-64,0,6.25,0.75,0.25,6.0,9.75
-------------------OXX-----XXOO---XXXO---OOO-------------------- X;,1,50,7,7,0,1,8,-64,0,4.750000000000001,0.25,0.75,8.0,9.75
-------------------OXX---O-XXOO---OXXO----XO-------------------- X;,1,50,7,7,0,0,10,-64,0,7.5,1.0,1.0,4.0,10.0
------------------XXXX-----OOO----OOOO----XO-------O------------ X;,1,50,5,9,-4,586,2,-64,0,6.875,2.125,0.875,4.0,10.875
-------------O----XXOX-----OX-----OOOO----XO-------O------------ X;,1,50,5,9,-4,0,10,-64,0,4.625,0.375,2.625,5.0,9.625
-----------O------XOXX-----OX-----OOOO----XO-------O------------ X;,1,50,5,9,-4,0,10,-64,0,4.875000000000001,0.625,1.375,7.0,9.875
------------------XXXX-----XO-----OOOO------OO------OO---------- X;,1,50,5,9,-4,1,12,-64,0,1.6249999999999998,1.375,1.625,9.0,9.625
----------O-------XOXX-----OO-----OOOO----XO-------O------------ X;,1,50,4,10,-6,0,12,-64,0,7.625000000000001,0.375,0.625,5.0,9.625
------------------XXXX-----XO-----OOOO------OOO-----O----------- X;,1,50,5,9,-4,0,12,-64,0,1.6249999999999998,1.375,1.625,9.0,9.625
------------O-----XXOX-----OO-----OOOO----XO-------O------------ X;,1,50,4,10,-6,2,14,-64,0,7.875,0.625,1.875,2.0,9.875
------------------XXXX-----XO-----OOOOO-----OO------O----------- X;,1,50,5,9,-4,0,14,-64,0,1.875,1.125,1.875,9.0,9.875
---------O--------OXXX-----OX-----OOOO----XO-------O------------ X;,1,50,5,9,-4,0,24,-64,0,1.7500000000000002,1.25,3.75,7.0,9.75
------------------X-OX----XOOOO---XOO-----O-O----O-------------- X;,1,50,4,10,-6,0,28,-64,0,4.750000000000001,1.25,0.75,7.0,9.75
------------------XXXX-----XO-----OOOO------OO------O-O--------- X;,1,50,5,9,-4,0,28,-64,0,1.7500000000000002,1.25,1.75,9.0,9.75
------------X-----O-XX----OOXO----XXO-O---X-O------------------- X;,1,50,7,7,0,2,4,-64,0,0.37499999999999994,0.625,7.875,5.0,9.875
-------------------OXX-----XX----XXXOO---OOO--------O----------- X;,1,50,7,7,0,0,4,-64,0,1.2500000000000002,0.75,2.75,9.0,8.75
-------------------OXX---O-XX----XOXOO----XO--------O----------- X;,1,50,7,7,0,0,6,-64,0,3.2499999999999996,0.25,3.25,7.0,9.25
------------X-------XX----OXXO---OOOO-O---X-O------------------- X;,1,50,6,8,-2,0,8,-64,0,2.25,2.25,1.25,7.0,9.25
-------------------OXX-----XX---OOOOOO----XO--------O----------- X;,1,50,5,9,-4,0,10,-64,0,2.75,0.25,1.25,9.0,8.75
------------X-------XX----OXXO----OXO-O---O-O-----O------------- X;,1,50,6,8,-2,0,12,-64,0,2.25,1.75,1.75,7.0,8.75
------------------XXX-----OXXO-----OOO-----OOO-------O---------- X;,1,50,5,9,-4,9,6,-64,0,1.2500000000000002,1.25,0.25,11.0,11.25
------------------OXXX----OOXO-----XO-----XOO-----O------------- X;,1,50,6,8,-2,1,8,-64,0,0.875,0.625,6.375,6.0,10.875
-------------------O-XO---XXXO----XXOO---OOO-------------------- X;,1,50,6,8,-2,0,10,-64,0,2.0000000000000004,1.0,1.5,9.0,10.0
--------------------OX----OOXO----OOOOO--OX-O------------------- X;,1,50,3,11,-8,0,14,-64,0,6.75,0.75,2.25,4.0,9.75
-------------------O-XO---OXXO---OOOOO----XO-------------------- X;,1,50,4,10,-6,0,14,-64,0,5.749999999999999,0.75,1.25,6.0,9.75
-------------------XXX----OXXO-----XO----OOOO-----O------------- X;,1,50,6,8,-2,0,16,-64,0,2.0000000000000004,0.5,1.5,10.0,10.0
------------O-----XXOX-----XO-----OXOO----OO------O------------- X;,1,50,5,9,-4,3,14,-64,0,1.6249999999999998,0.375,1.625,9.0,9.625
-------------O----XXOX-----OX-----OXOO----OO------O------------- X;,1,50,5,9,-4,3,16,-64,0,1.875,0.625,5.875,4.0,9.875
----------O-------XOXX-----XO-----OXOO----OO------O------------- X;,1,50,5,9,-4,2,16,-64,0,1.875,0.625,0.375,11.0,9.875
------------O-----XXOX-----XO-----OOOO------OO-------O---------- X;,1,50,4,10,-6,1,16,-64,0,2.625,0.375,1.625,9.0,9.625
--------------O---XXXO-----XO-----OOOO----OO------O------------- X;,1,50,4,10,-6,0,32,-64,0,1.7500000000000002,1.25,3.75,7.0,9.75
---------O--------OXXX-----OX-----OXOO----OO------O------------- X;,1,50,5,9,-4,0,32,-64,0,0.7499999999999999,1.25,4.75,7.0,9.75
-----------------XO-OX----OOXX----OXO-----O-O-----O------------- X;,1,50,5,9,-4,0,14,-64,0,1.375,0.625,4.875,7.0,9.875
---------------O--XO--O---XXXO-----OOO-----O-O-------O---------- X;,1,50,4,10,-6,0,16,-64,0,1.7500000000000002,0.25,0.25,11.0,8.75
----------X--------XOOO----XX-----OXOO----OO------O------------- X;,1,50,5,9,-4,0,16,-64,0,3.2499999999999996,0.25,4.25,5.0,9.25
-----------------X--OX----XXXO----OXO-O---O-O-----O------------- X;,1,50,6,8,-2,0,18,-64,0,2.25,0.75,2.75,7.0,8.75
--------------O--X--OO----XXOX----OOO-----O-O-----O------------- X;,1,50,4,10,-6,0,22,-64,0,2.3749999999999996,1.625,2.875,7.0,8.875
----------X------OOOO-----XXXO----XXXX-----O-------------------- X;,1,50,8,6,2,2395,0,0,64,4.375,3.625,1.375,4.0,10.875
------------X----OOOO-----XXXO----XXXX-----O-------------------- X;,1,50,8,6,2,242,-4,0,64,4.625,3.375,1.625,4.0,10.625
------------X-------XOO---OXXO----XXXO------OO------------------ X;,1,50,7,7,0,98,-6,0,64,5.749999999999999,0.75,2.25,5.0,9.75
------------------X-OOO---XXXO----XXXXO-----O------------------- X;,1,50,8,6,2,20,-8,0,64,4.25,2.25,1.75,5.0,9.75
-----------X-------X-----OXXXX----OXXO---OOO-------------------- X;,1,50,8,6,2,2,-8,0,64,4.375,0.625,0.875,7.0,9.375
------------X------X-----OXXXX----OXXO---OOO-------------------- X;,1,50,8,6,2,2,-8,0,64,4.375,0.625,1.375,7.0,9.375
----------X--------X-----OXXXX----OXXO---OOO-------------------- X;,1,50,8,6,2,2,-8,0,64,4.375,0.625,1.375,7.0,9.375
--------------------O-----XXXXO--XXXXO------OOO----------------- X;,1,50,8,6,2,4,-12,0,64,4.375,2.125,0.875,6.0,9.375
-----------------X--OOO---XXXO----XXXXO-----O------------------- X;,1,50,8,6,2,2,-12,0,64,4.375,2.125,1.375,5.0,9.375
---------------X----OOX---OXXO----XXXO------OO------------------ X;,1,50,7,7,0,0,-16,0,64,7.249999999999999,0.25,0.75,5.0,9.75
---------X-------OXO------OXXO---OXXXX-----O-------------------- X;,1,50,8,6,2,0,-24,0,64,5.25,0.75,0.75,7.0,9.25
-------------------OX----X-XXX----XXXO----OOO-----O------------- X;,1,50,8,6,2,376,-4,0,64,4.625,1.375,3.625,4.0,10.625
-------------O------XOX---OXXO----XXXO-----XO------------------- X;,1,50,8,6,2,103,-6,0,64,4.375,1.625,3.375,4.0,10.875
-------------------OX------XXX---XXXXO----OOO-----O------------- X;,1,50,8,6,2,19,-6,0,64,4.625,1.375,3.625,4.0,10.625
-------------------XXX----XXX-O---OXXO------OOO----------------- X;,1,50,8,6,2,20,-8,0,64,4.25,0.75,1.25,7.0,9.75
-------------------XXX----XXX-----OXXO-----OOO-------O---------- X;,1,50,8,6,2,7,-8,0,64,4.25,0.25,1.25,8.0,11.25
------------X------XX-----XXX-----OXXO------OO-----O-O---------- X;,1,50,8,6,2,5,-8,0,64,4.375,0.625,0.375,8.0,9.375
------------X------XX-----XXX-O---OXXO------OOO----------------- X;,1,50,8,6,2,0,-8,0,64,4.375,1.125,0.375,7.0,9.375
-------------X-----XX-----XXX-O---OXXO------OOO----------------- X;,1,50,8,6,2,2,-8,0,64,4.375,1.125,0.875,7.0,9.375
-------------X-----XX-----XXX-----OXXO------OO-----O-O---------- X;,1,50,8,6,2,0,-10,0,64,4.375,0.625,0.875,7.0,9.375
------X------X-----OOO----OXXO----XXX------XO------------------- X;,1,50,8,6,2,0,-16,0,64,5.625,0.375,1.625,6.0,10.625
------------OOX-----OX----OXOO----XXO------XO------------------- X;,1,50,6,8,-2,1,-20,0,64,1.2500000000000002,0.25,1.25,11.0,9.25
------------------XXXO----XXXO-----XXO-----OOO------------------ X;,1,50,8,6,2,194,-4,0,64,4.375,0.125,0.375,9.0,12.375
------------------OXXX---XOXXX----OOO-----O-O------------------- X;,1,50,7,7,0,141,-6,0,64,0.37499999999999994,0.625,0.875,12.0,10.875
-----------O------OOXX----OOXX----XXO-----X-O------------------- X;,1,50,7,7,0,0,-8,0,64,0.37499999999999994,0.625,10.875,2.0,10.875
------------------OXXX---OOOXX---XXOO-------O------------------- X;,1,50,7,7,0,5,-8,0,64,1.4999999999999998,0.0,4.5,7.0,10.0
----------O------XOXXX----OOXX----XOO-------O------------------- X;,1,50,7,7,0,5,-10,0,64,1.4999999999999998,0.5,4.0,7.0,10.0
------------O-----XXOO----XXOO----XXXX-----O-------------------- X;,1,50,8,6,2,0,-12,0,64,1.2500000000000002,1.25,5.25,6.0,11.25
-------------X----XXXX----XXOX-----OOOO----O-------------------- X;,1,50,8,6,2,0,-14,0,64,2.75,0.25,1.25,9.0,9.75
--------------------XX---XXXXX-----OOOO----XOO------------------ X;,1,50,8,6,2,1,-16,0,64,0.5000000000000001,0.0,3.0,10.0,10.0
------------------X-XX---XXXXO-----OOO----OOO------------------- X;,1,50,7,7,0,4,-8,0,64,0.875,0.125,0.375,12.0,10.875
-----------X------XXO-----XOOO----OOOX----XO-------------------- X;,1,50,6,8,-2,4,-10,0,64,5.25,0.25,6.25,2.0,11.25
------------X-----XXO-----XOOO----OOOX----XO-------------------- X;,1,50,6,8,-2,1,-10,0,64,5.25,0.25,6.25,2.0,11.25
------------------X-XX----XXXO----XOOO----OOO------------------- X;,1,50,7,7,0,0,-10,0,64,0.37499999999999994,0.125,0.375,13.0,12.375
-------------X----XOX-----XXOO----OOOX----XO-------------------- X;,1,50,7,7,0,0,-10,0,64,2.25,0.25,2.25,6.0,11.25
----------X-------XXO-----XOXO----OOOX----XO-------------------- X;,1,50,7,7,0,0,-10,0,64,2.25,0.25,7.25,4.0,11.25
------------------XOOX-----XOX----XXOO----XOO------------------- X;,1,50,7,7,0,5,-12,0,64,3.375,3.125,1.375,5.0,12.375
------------------XOO-----XOXXX---OOOX----XO-------------------- X;,1,50,7,7,0,2,-12,0,64,2.25,3.25,2.25,6.0,11.25
------------O-----XXOX----XXOX-----XOX----XO-------------------- X;,1,50,9,5,4,1,-12,0,64,2.875,2.125,2.375,6.0,10.875
-----------X------XXO-----XXOO----XXOX-----OO------------------- X;,1,50,8,6,2,1,-8,0,64,0.37499999999999994,2.125,2.375,9.0,12.375
------------------XX-----XXXXO----OOOO-----OOO------------------ X;,1,50,6,8,-2,0,-10,0,64,1.2500000000000002,0.25,1.25,11.0,11.25
------------X------OXX----OOXX----XOO-----XOO------------------- X;,1,50,7,7,0,1,-12,0,64,2.25,1.25,5.25,5.0,11.25
-----------OX-----XOXX----XOXX----XOO-------O------------------- X;,1,50,8,6,2,1,-12,0,64,2.5000000000000004,2.0,3.5,5.0,10.0
-----------X-X----XXX-----XXOO-----OOO-----O-O------------------ X;,1,50,7,7,0,0,-14,0,64,1.2500000000000002,0.75,1.75,10.0,9.75
------------X------XXX----XOXX---XOOO----O--O------------------- X;,1,50,8,6,2,0,-14,0,64,2.3749999999999996,0.125,1.875,9.0,9.375
------------------XX-----XXXXXX---OOO------OOO------------------ X;,1,50,8,6,2,0,-18,0,64,0.5000000000000001,1.0,0.5,12.0,10.0
------------X-----OOXX---XXOXX----XOO-------O------------------- X;,1,50,8,6,2,0,-18,0,64,2.0000000000000004,2.0,4.0,5.0,10.0
------------------XOOX----XOXX----OOOX----XO-------------------- X;,1,50,7,7,0,4,-10,0,64,3.375,3.125,2.375,5.0,12.375
----------XO------XOOX----XOXX----XOO-------O------------------- X;,1,50,7,7,0,3,-10,0,64,2.25,4.75,1.75,5.0,9.75
------------------XOOX----XXOX----XXOX-----OO------------------- X;,1,50,8,6,2,2,-10,0,64,1.0,8.0,0.0,5.0,13.0
-------------X----XOXX----XXOX----XOOO------O------------------- X;,1,50,8,6,2,1,-10,0,64,2.25,1.25,4.25,6.0,11.25
-----------X------XOXX----XOOX----XOOO------O------------------- X;,1,50,7,7,0,4,-12,0,64,5.25,1.25,3.25,4.0,11.25
------------------XOOX----XOXX----XOX-----OOO------------------- X;,1,50,7,7,0,2,-12,0,64,0.37499999999999994,6.125,0.375,7.0,12.375
------------------XOOX----XOOX----XXOO----X-O------------------- X;,1,50,7,7,0,2,-14,0,64,3.375,3.125,2.375,5.0,12.375
-----------O------XOX-----OOO-----OXXXX---XX-------------------- X;,1,50,8,6,2,0,-16,0,64,1.0,1.0,0.5,9.0,10.0
------------------XXO-X---OOOX----OOX-----XXX------------------- X;,1,50,8,6,2,0,-20,0,64,2.25,1.25,1.25,8.0,11.25
-------------X-----OXX----OOOX----XOOO-----XO------------------- X;,1,50,6,8,-2,1,-10,0,64,4.375,0.125,8.375,1.0,12.375
----------X-------XXO-----XXOO----XXOX-----OO------------------- X;,1,50,8,6,2,0,-10,0,64,0.37499999999999994,2.125,2.375,9.0,12.375
-------------X----XXXX---OOOXX----XOO-------O------------------- X;,1,50,8,6,2,0,-12,0,64,2.75,0.25,3.25,7.0,9.75
-------------X-----OXX----OOOX----XXOO----X-O------------------- X;,1,50,7,7,0,0,-14,0,64,2.25,0.25,8.25,3.0,11.25
--------------------XXX--XXXXX-----OOO----OOO------------------- X;,1,50,8,6,2,0,-14,0,64,0.25,0.75,0.75,12.0,9.75
-------------X----OOXX---XXOXX----XOO-------O------------------- X;,1,50,8,6,2,0,-14,0,64,1.7500000000000002,2.25,4.25,5.0,9.75
----------X--X----XXX-----XXOO-----OOO-----O-O------------------ X;,1,50,7,7,0,0,-14,0,64,1.4999999999999998,1.0,1.5,10.0,10.0
------------------XOO-----XXOXX---XXOX-----OO------------------- X;,1,50,8,6,2,0,-10,0,64,0.37499999999999994,8.125,0.375,5.0,12.375
------------------XXXX---XXOXX----OOO----O--O------------------- X;,1,50,8,6,2,1,-12,0,64,2.75,0.25,1.25,9.0,9.75
----------X--------XOX---XXOXX---OOOO-------O------------------- X;,1,50,7,7,0,0,-14,0,64,1.375,0.625,2.375,9.0,9.375
-------------------OOX---XXOXX----XOX-----OOO------------------- X;,1,50,7,7,0,0,-14,0,64,0.25,6.25,0.25,7.0,11.25
-----------X------OX-------OOX----XXOXX---XOO------------------- X;,1,50,8,6,2,0,-14,0,64,2.0000000000000004,2.0,2.5,7.0,10.0
-----------X-------OXX---XXOOX----XOOO------O------------------- X;,1,50,7,7,0,0,-14,0,64,4.875000000000001,1.125,3.875,4.0,10.875
-------------------OOX---XXOOX----XXOO----X-O------------------- X;,1,50,7,7,0,0,-16,0,64,2.25,3.25,3.25,5.0,11.25
------------X------XXX---XXOXX----OOO----O--O------------------- X;,1,50,8,6,2,0,-18,0,64,2.3749999999999996,0.125,1.375,9.0,9.375
----------X--------X------OOXX----XOOXX---XOO------------------- X;,1,50,8,6,2,0,-20,0,64,1.6249999999999998,1.375,1.625,8.0,10.625
-----------X-------OXX----OOXX----XXOX------OO------------------ X;,1,50,8,6,2,0,-10,0,64,0.25,1.25,8.25,4.0,11.25
------------X-----XXXX----XXOX-----OOO-----O--O----------------- X;,1,50,8,6,2,0,-10,0,64,2.75,0.25,1.25,9.0,9.75
------------XX----XXX-----XXOO-----OOO-----O-O------------------ X;,1,50,7,7,0,0,-12,0,64,1.2500000000000002,0.75,1.75,10.0,9.75
-----------X-------OXX----OOOX----XXOO----X-O------------------- X;,1,50,7,7,0,0,-14,0,64,2.25,0.25,8.25,3.0,11.25
-----------X-------OXX---XXXOX----XOOO------O------------------- X;,1,50,8,6,2,0,-14,0,64,1.875,1.125,4.875,6.0,10.875
-------------------OXX---XXOOX-----OOOX----XO------------------- X;,1,50,7,7,0,0,-16,0,64,4.875000000000001,0.625,3.875,3.0,10.875
------------X-----XXX-----XXXO-----XXO-----OOO------------------ X;,1,50,9,5,4,0,-16,0,64,4.25,0.25,0.25,9.0,11.25
-----------------X-OX----OOOO-----OXXXX---XX-------------------- X;,1,50,8,6,2,4,-16,0,64,0.37499999999999994,0.625,0.875,10.0,9.375
-------------------OXXX--XXOOX-----OXO-----XO------------------- X;,1,50,8,6,2,1,-16,0,64,1.6249999999999998,0.375,4.625,6.0,10.625
------------------XXX----OOOO-----XXXXX---XX-------------------- X;,1,50,10,4,6,1,-16,0,64,2.9999999999999996,0.5,0.5,10.0,10.0
-----------X-------XOX-----XOX----XXOO----XOO------------------- X;,1,50,8,6,2,1,-18,0,64,1.2500000000000002,1.25,1.25,7.0,11.25
-----------X-------X------OOOX----XOXXX---XOO------------------- X;,1,50,8,6,2,0,-18,0,64,1.875,1.125,1.875,8.0,10.875
----------X--------XX-----OOX-----OOXXX---XXO------------------- X;,1,50,9,5,4,0,-24,0,64,0.6250000000000001,1.375,0.625,10.0,10.625
-------------------O-----OXXXX---OXXXO---OOO-------------------- X;,1,50,7,7,0,221,2,-64,0,4.875000000000001,2.625,0.875,5.0,9.375
-----------XO-----XXX-----OXXO-----XX------OOO------------------ X;,1,50,8,6,2,15,4,-64,0,4.499999999999999,0.5,0.5,8.0,10.0
--------------------OX-O--OXXXO---XXXOO-----O------------------- X;,1,50,7,7,0,9,6,-64,0,5.375,1.125,2.375,3.0,9.375
------------------XO----OOOOOO---OXXXX-----O-------------------- X;,1,50,5,9,-4,6,6,-64,0,1.375,1.125,0.375,11.0,9.375
-----------OX------XXX----OXXO-----XO------OO-----O------------- X;,1,50,7,7,0,2,8,-64,0,1.875,0.625,1.875,9.0,9.375
------------------XO-----XXXXO---OOOOOO----O-------------------- X;,1,50,5,9,-4,1,12,-64,0,2.3749999999999996,0.125,0.875,10.0,9.875
--------------------OX----XOX-O---OOOOO-----OOO----------------- X;,1,50,3,11,-8,0,6,-64,0,2.75,0.75,2.25,8.0,8.75
-------------------X-------XX-----OXXO----O-OO----OOOO---------- X;,1,50,5,9,-4,1,8,-64,0,6.499999999999999,1.5,0.0,6.0,8.0
-------------------X-------XX----OOXXO----O-OO-----OOO---------- X;,1,50,5,9,-4,0,8,-64,0,6.75,0.75,0.25,6.0,8.25
------------------O-OX----XOX-O----XOOO-----OOO----------------- X;,1,50,4,10,-6,0,10,-64,0,1.375,1.125,6.375,5.0,8.875
-------------------OOX----XXO-O----XXOO-----OOO----------------- X;,1,50,5,9,-4,0,12,-64,0,2.75,1.75,2.25,7.0,8.75
------------------XO--O--O-XXO---OOXO----OOO-------------------- X;,1,50,4,10,-6,0,14,-64,0,4.0,1.0,3.0,5.0,8.0
------------------OXX------XX-----OXOO----OO------OOO----------- X;,1,50,5,9,-4,13,10,-64,0,2.75,1.75,1.25,8.0,8.75
------------------O-OX----XOXXX---OXO-O--O--O------------------- X;,1,50,6,8,-2,8,10,-64,0,0.25,1.25,5.75,6.0,8.75
------------------XO-O---XXXXX---O-OOOO----O-------------------- X;,1,50,6,8,-2,12,12,-64,0,0.25,1.25,1.25,11.0,9.25
-----------------OO-OX----OXXXX---XOO-O-----O------------------- X;,1,50,6,8,-2,16,14,-64,0,0.25,1.25,2.75,8.0,8.75
------------------O-OX----OXXXX---OXO-O---O-O------------------- X;,1,50,6,8,-2,2,18,-64,0,2.3749999999999996,0.125,1.875,9.0,9.875
------------------XXXO---XXXO----O-OOOO----O-------------------- X;,1,50,6,8,-2,0,14,-64,0,1.2500000000000002,0.25,2.25,10.0,9.25
-----------O------XOX----XXOX----O-OOOO----O-------------------- X;,1,50,5,9,-4,0,18,-64,0,1.875,0.125,1.375,10.0,9.375
-----------------OXXX----OOXX----O-OOOO----O-------------------- X;,1,50,5,9,-4,0,20,-64,0,1.6249999999999998,2.375,0.625,8.0,8.625
----------O-------XOX----XXXO----O-OOOO----O-------------------- X;,1,50,5,9,-4,0,20,-64,0,1.6249999999999998,0.375,1.625,10.0,8.625
-----------XO-----XO------OXOO---OOOO-------O-------O----------- X;,1,50,3,11,-8,0,26,-64,0,4.875000000000001,0.125,1.875,6.0,9.375
---------O--------OXX----XXOX----O-OOOO----O-------------------- X;,1,50,5,9,-4,0,34,-64,0,1.7500000000000002,0.25,1.75,10.0,8.75
------------------XO--O--XXXXO---O-OOO-----O--O----------------- X;,1,50,5,9,-4,0,16,-64,0,1.875,0.625,0.875,10.0,8.375
-----------OX-------XX----OOXO-----XO------OOO----O------------- X;,1,50,5,9,-4,0,16,-64,0,1.2500000000000002,0.25,5.75,6.0,8.75
-------------O-----XO------XX-----OXOO----OO------OOO----------- X;,1,50,4,10,-6,0,22,-64,0,3.375,1.125,2.875,5.0,8.375
-------------------XXX----XOOO----OOOO------OOO----------------- X;,1,50,4,10,-6,74,2,-64,0,4.25,1.25,1.25,6.0,11.25
------------------XXX------XOOO---OOOO---OOO-------------------- X;,1,50,4,10,-6,25,4,-64,0,1.7500000000000002,2.25,2.75,7.0,9.75
------------------XXX-O----XOO----OOOO---OOO-------------------- X;,1,50,4,10,-6,1,6,-64,0,2.0000000000000004,2.5,3.0,6.0,10.0
------------------XXXO-----XOO----OOOO---OOO-------------------- X;,1,50,4,10,-6,1,8,-64,0,1.875,2.125,3.875,6.0,10.875
-------------O-----XOX----XOX-----OOOO------OOO----------------- X;,1,50,4,10,-6,0,10,-64,0,2.0000000000000004,0.0,2.5,9.0,10.0
-----------O-------OXX----XOX-----OOOO------OOO----------------- X;,1,50,4,10,-6,0,12,-64,0,1.7500000000000002,0.25,2.75,7.0,9.75
------------O------XOX----XOO-----OOOO------OOO----------------- X;,1,50,3,11,-8,0,14,-64,0,4.750000000000001,0.25,1.75,7.0,9.75
----------O--------OXX----XOO-----OOOO------OOO----------------- X;,1,50,3,11,-8,0,18,-64,0,5.000000000000001,0.0,2.0,5.0,10.0
--------------O----XXO----XOO-----OOOO------OOO----------------- X;,1,50,3,11,-8,0,30,-64,0,5.375,0.625,0.375,7.0,9.875
---O--------O-------XOO---XXX------XXO------OOO----------------- X;,1,50,6,8,-2,67,4,-64,0,5.749999999999999,0.75,0.75,6.0,7.75
------------X-------XOO---XXX-----OOOO------OOO----------------- X;,1,50,5,9,-4,4,8,-64,0,1.7500000000000002,0.75,0.25,10.0,8.75
-------------------X-------XX---OOOOOO----O-OO----O--O---------- X;,1,50,3,11,-8,2,10,-64,0,2.25,1.25,0.25,10.0,7.75
-------------------X------OXX----XOOXO----O-OO----O--O---------- X;,1,50,5,9,-4,3,12,-64,0,3.7500000000000004,1.75,1.25,7.0,8.75
-----------X-----OOX-------OXX----OXO----OOO-O------------------ X;,1,50,5,9,-4,0,12,-64,0,2.875,0.625,4.875,5.0,8.875
------------X-----O-XOO---XOX------XOO------OOO----------------- X;,1,50,5,9,-4,0,12,-64,0,2.875,0.625,4.875,5.0,8.875
-----------X-----OOX--O----XXO----OXO----OOO-------------------- X;,1,50,5,9,-4,0,16,-64,0,3.7500000000000004,1.75,3.25,5.0,8.25
------------O-----XXOX----XXO------XXO------OOO----------------- X;,1,50,7,7,0,0,8,-64,0,1.6249999999999998,0.375,1.625,10.0,9.625
------------------XXXX-----OOOO---OXX----OOO-------------------- X;,1,50,6,8,-2,0,8,-64,0,0.6250000000000001,1.375,1.625,10.0,9.625
------------------XXXX----XXO-----OOOO------OOO----------------- X;,1,50,6,8,-2,0,8,-64,0,1.375,0.625,1.375,10.0,10.875
------------------XXXX-----OXX----OXO----OOO-O------------------ X;,1,50,7,7,0,0,10,-64,0,0.25,0.25,4.25,9.0,11.25
----------O-------XOXX----XXO------XXO------OOO----------------- X;,1,50,7,7,0,0,14,-64,0,1.875,0.125,2.875,8.0,9.875
------------------XXXXO----OXO----OXO----OOO-------------------- X;,1,50,6,8,-2,0,14,-64,0,0.875,1.625,5.875,5.0,9.875
------------------XX------XXX-----XOXO----O-OO---O---O---------- X;,1,50,7,7,0,0,24,-64,0,1.7500000000000002,0.25,1.75,10.0,9.75
