game,t,delta,late_t,early__sheaf_black_lambda2,early__sheaf_white_lambda2,early__sheaf_black_entropy,early__sheaf_white_entropy,early__sheaf_black_kerdim,early__sheaf_white_kerdim,early__sheaf_black_lambdamax,early__sheaf_white_lambdamax,early__n_legal_moves,early__rho,early__empty_count,late__sheaf_black_lambda2,late__sheaf_white_lambda2,late__sheaf_black_entropy,late__sheaf_white_entropy,late__sheaf_black_kerdim,late__sheaf_white_kerdim,late__sheaf_black_lambdamax,late__sheaf_white_lambdamax,late__n_legal_moves,late__rho,late__empty_count
17,44,1,45,0.19697909673987524,0.787916386959501,3.8968652609340806,4.011525598678626,128,128,9.792639090684819,10.991052241791035,8,0.75,16,0.1998014064824291,0.7992056259297164,3.892477904393395,4.001555046788543,128,128,10.009498224296767,10.989975011187802,6,0.765625,15
17,45,1,46,0.1998014064824291,0.7992056259297164,3.892477904393395,4.001555046788543,128,128,10.009498224296767,10.989975011187802,6,0.765625,15,0.14453092946667723,0.5781237178667089,3.8973118961648376,4.0181019021376905,128,128,9.789781275243245,11.148124822063306,7,0.78125,14
17,46,1,47,0.14453092946667723,0.5781237178667089,3.8973118961648376,4.0181019021376905,128,128,9.789781275243245,11.148124822063306,7,0.78125,14,0.14453142236782016,0.5781256894712806,3.897473709087971,3.9962534218029306,128,128,10.18763145283213,11.14705404041178,6,0.796875,13
17,47,1,48,0.14453142236782016,0.5781256894712806,3.897473709087971,3.9962534218029306,128,128,10.18763145283213,11.14705404041178,6,0.796875,13,0.14453081322523828,0.5781232529009531,3.896897112922672,4.001768274712385,128,128,9.832771768126888,11.1482641373804,5,0.8125,12
17,48,1,49,0.14453081322523828,0.5781232529009531,3.896897112922672,4.001768274712385,128,128,9.832771768126888,11.1482641373804,5,0.8125,12,0.1599131326134217,0.6396525304536868,3.887493622813542,3.980938145565325,128,128,10.570459826348008,11.07048641792463,6,0.828125,11
17,49,1,50,0.1599131326134217,0.6396525304536868,3.887493622813542,3.980938145565325,128,128,10.570459826348008,11.07048641792463,6,0.828125,11,0.09604987793819063,0.3841995117527625,3.8706447849071486,3.9863162913346226,128,128,10.557898742417674,11.109476156937387,6,0.84375,10
17,50,1,51,0.09604987793819063,0.3841995117527625,3.8706447849071486,3.9863162913346226,128,128,10.557898742417674,11.109476156937387,6,0.84375,10,0.096756925567228,0.387027702268912,3.8675519062195596,3.969752292736067,128,128,10.666575482078205,11.058278534936909,5,0.859375,9
17,51,1,52,0.096756925567228,0.387027702268912,3.8675519062195596,3.969752292736067,128,128,10.666575482078205,11.058278534936909,5,0.859375,9,0.09568813220878512,0.3827525288351346,3.882552558150347,3.986841578521394,128,128,10.220135402393232,11.22532217103871,5,0.875,8
17,52,1,53,0.09568813220878512,0.3827525288351346,3.882552558150347,3.986841578521394,128,128,10.220135402393232,11.22532217103871,5,0.875,8,0.09568832551412099,0.3119992511652292,3.8813366960957327,3.9555672957505044,128,128,10.50350868754117,11.223495899650302,3,0.890625,7
17,53,1,54,0.09568832551412099,0.3119992511652292,3.8813366960957327,3.9555672957505044,128,128,10.50350868754117,11.223495899650302,3,0.890625,7,0.08962526634026141,0.3121773597215475,3.8822877467242143,3.9621030040821026,128,128,10.297978885063007,11.296277968144768,4,0.90625,6
17,54,1,55,0.08962526634026141,0.3121773597215475,3.8822877467242143,3.9621030040821026,128,128,10.297978885063007,11.296277968144768,4,0.90625,6,0.09727316565605114,0.312085839639972,3.875073957247751,3.946832999953688,128,128,10.545553871119395,11.294040229266017,2,0.921875,5
17,55,1,56,0.09727316565605114,0.312085839639972,3.875073957247751,3.946832999953688,128,128,10.545553871119395,11.294040229266017,2,0.921875,5,0.09719669194095322,0.321710769697164,3.891358984737975,3.9551364822891504,128,128,9.813326513127489,11.330117279306593,4,0.9375,4
17,56,1,57,0.09719669194095322,0.321710769697164,3.891358984737975,3.9551364822891504,128,128,9.813326513127489,11.330117279306593,4,0.9375,4,0.0991754044462259,0.2723020357729352,3.86605267252013,3.9174561231389085,128,128,10.53763547934128,11.109993774668284,3,0.953125,3
