game,ply,side_to_move,n_empties,disc_diff_black_white,a1_minus_energy,edax_score_shallow,edax_score_deep,depth_gap
20,12,1,48,-2,2.75,0,-2,2
20,13,-1,47,1,2.125,4,1,3
20,14,1,46,-2,2.5000000000000004,-1,-2,1
20,15,-1,45,1,2.125,3,2,1
20,16,1,44,-4,3.375,-3,-3,0
20,17,-1,43,5,5.749999999999999,4,1,3
20,18,1,42,2,5.375,-2,-2,0
20,19,-1,41,5,5.749999999999999,6,0,6
20,20,1,40,-2,4.375,-2,-2,0
20,21,-1,39,3,9.0,2,0,2
20,22,1,38,0,9.375,-3,-2,1
20,23,-1,37,5,11.999999999999998,9,1,8
20,24,1,36,0,7.625000000000001,-7,-2,5
20,25,-1,35,7,9.499999999999998,6,0,6
20,26,1,34,0,12.875,-5,-3,2
20,27,-1,33,5,11.0,5,1,4
20,28,1,32,2,11.875,-5,-2,3
20,29,-1,31,7,12.999999999999998,9,1,8
20,30,1,30,-8,8.625,-8,-2,6
20,31,-1,29,-5,7.5,8,2,6
20,32,1,28,-8,8.25,-7,-2,5
20,33,-1,27,-5,7.875,7,2,5
20,34,1,26,-10,9.125,-7,-2,5
20,35,-1,25,1,4.875000000000001,7,2,5
20,36,1,24,-4,2.75,-7,-2,5
20,37,-1,23,5,7.875,8,2,6
20,38,1,22,-4,2.0000000000000004,-5,-2,3
20,39,-1,21,1,1.875,11,2,9
20,40,1,20,-2,2.0000000000000004,-8,-2,6
20,41,-1,19,1,2.3749999999999996,12,2,10
20,42,1,18,-4,2.75,-7,-2,5
20,43,-1,17,-1,3.5,8,2,6
20,44,1,16,-14,4.875000000000001,0,-2,2
20,45,-1,15,-9,2.9999999999999996,5,2,3
20,46,1,14,-14,4.375,0,2,2
20,47,-1,13,-5,4.0,8,-2,10
20,48,1,12,-14,7.375,1,12,11
20,49,-1,11,-5,2.9999999999999996,-3,-12,9
20,50,1,10,-10,4.375,8,16,8
20,51,-1,9,3,5.625,-5,-16,11
20,52,1,8,-10,4.25,8,16,8
20,53,-1,7,1,1.1249999999999998,-6,-16,10
20,54,1,6,-6,4.0,6,16,10
20,55,-1,5,7,11.75,-11,-16,5
20,56,1,4,0,14.0,10,16,6
20,57,-1,3,3,16.125,-19,-16,3
20,58,1,2,-2,17.0,16,16,0
20,59,-1,1,1,17.25,-16,-16,0
20,60,1,1,1,17.25,16,16,0
20,61,-1,0,16,22.5,-16,-16,0
21,0,1,60,0,0.0,-4,-1,3
21,1,-1,59,3,1.1249999999999998,4,-1,5
21,2,1,58,0,0.0,-2,0,2
21,3,-1,57,3,1.2500000000000002,5,0,5
21,4,1,56,0,0.37499999999999994,-1,-1,0
21,5,-1,55,3,1.2500000000000002,3,0,3
21,6,1,54,0,0.37499999999999994,1,-1,2
21,7,-1,53,5,4.25,2,-1,3
21,8,1,52,-4,2.3749999999999996,4,2,2
21,9,-1,51,-1,1.0,-2,-2,0
21,10,1,50,-4,2.875,4,5,1
21,11,-1,49,1,1.6249999999999998,-3,-5,2
21,12,1,48,-2,2.75,2,6,4
21,13,-1,47,3,2.125,-1,-7,6
21,14,1,46,0,1.7500000000000002,5,9,4
21,15,-1,45,3,0.875,-1,-11,10
21,16,1,44,-6,5.25,10,9,1
21,17,-1,43,-3,4.875000000000001,-5,-5,0
21,18,1,42,-6,6.25,7,3,4
21,19,-1,41,-1,5.875000000000001,-5,-4,1
21,20,1,40,-4,5.749999999999999,11,5,6
21,21,-1,39,-1,5.375,-9,-8,1
21,22,1,38,-4,5.5,12,14,2
21,23,-1,37,-1,5.625,1,-16,17
21,24,1,36,-4,5.375,6,15,9
21,25,-1,35,-1,6.25,-9,-13,4
21,26,1,34,-12,10.125,15,21,6
21,27,-1,33,-7,11.999999999999998,-15,-25,10
21,28,1,32,-12,12.625,20,37,17
21,29,-1,31,3,11.5,-15,-34,19
21,30,1,30,0,11.375,17,40,23
21,31,-1,29,3,9.499999999999998,-16,-40,24
21,32,1,28,-6,14.625000000000002,19,50,31
21,33,-1,27,-1,13.75,-10,-30,20
21,34,1,26,-4,14.125,18,30,12
21,35,-1,25,3,10.5,-17,-30,13
21,36,1,24,0,11.375,19,34,15
21,37,-1,23,9,8.5,-18,-30,12
21,38,1,22,4,13.75,21,30,9
21,39,-1,21,9,12.375,-12,-30,18
21,40,1,20,0,12.750000000000002,27,30,3
21,41,-1,19,13,8.375,-19,-24,5
21,42,1,18,4,13.124999999999998,27,30,3
21,43,-1,17,11,13.375,-26,-30,4
21,44,1,16,0,12.25,36,32,4
21,45,-1,15,7,10.375000000000002,-16,-28,12
21,46,1,14,4,11.250000000000002,28,28,0
21,47,-1,13,9,12.125,-9,-28,19
21,48,1,12,-2,12.875,16,34,18
21,49,-1,11,13,11.5,-10,-34,24
21,50,1,10,8,11.125,12,38,26
21,51,-1,9,11,13.5,-23,-38,15
21,52,1,8,4,10.749999999999998,24,38,14
21,53,-1,7,9,10.625000000000002,-31,-38,7
21,54,1,6,2,7.249999999999999,29,38,9
21,55,-1,5,7,8.125,-36,-38,2
21,56,1,4,0,12.875,40,38,2
21,57,-1,3,5,13.75,-38,-38,0
21,58,1,3,5,13.75,38,38,0
21,59,-1,2,12,11.5,-38,-38,0
21,60,1,2,12,11.5,38,38,0
21,61,-1,1,25,30.750000000000004,-38,-38,0
21,62,1,1,25,30.750000000000004,38,38,0
21,63,-1,0,38,44.5,-38,-38,0
22,0,1,60,0,0.0,-4,-1,3
22,1,-1,59,3,1.1249999999999998,4,-1,5
22,2,1,58,0,0.0,-2,0,2
22,3,-1,57,3,1.1249999999999998,5,1,4
22,4,1,56,-2,1.0,-3,-1,2
22,5,-1,55,1,0.12500000000000003,6,1,5
22,6,1,54,-2,1.375,-4,-2,2
22,7,-1,53,1,0.7499999999999999,5,1,4
22,8,1,52,-2,2.5000000000000004,-3,0,3
22,9,-1,51,3,3.1250000000000004,1,-1,2
22,10,1,50,-2,3.375,0,0,0
22,11,-1,49,1,3.5,0,-3,3
22,12,1,48,-4,2.625,1,1,0
22,13,-1,47,5,8.000000000000002,1,-2,3
22,14,1,46,2,7.625000000000001,1,1,0
22,15,-1,45,5,8.000000000000002,4,-3,7
22,16,1,44,-2,7.125,-1,1,2
22,17,-1,43,1,8.000000000000002,0,-3,3
22,18,1,42,-2,8.875,-1,1,2
22,19,-1,41,1,6.499999999999999,-1,-1,0
22,20,1,40,-8,9.125,3,1,2
22,21,-1,39,-5,9.249999999999998,0,-4,4
22,22,1,38,-10,7.125,2,2,0
22,23,-1,37,-7,5.5,0,-3,3
22,24,1,36,-10,5.125000000000001,2,2,0
22,25,-1,35,-7,4.25,0,1,1
22,26,1,34,-10,7.125,3,-3,6
22,27,-1,33,-5,4.25,7,2,5
22,28,1,32,-8,4.875000000000001,-3,-6,3
22,29,-1,31,-1,4.750000000000001,5,1,4
22,30,1,30,-10,10.875,0,-4,4
22,31,-1,29,-5,9.75,1,4,3
22,32,1,28,-8,10.5,2,-4,6
22,33,-1,27,-5,9.125,7,4,3
22,34,1,26,-16,12.375,-3,-4,1
22,35,-1,25,-5,7.125,4,4,0
22,36,1,24,-10,5.999999999999999,-5,-4,1
22,37,-1,23,-7,3.375,7,6,1
22,38,1,22,-10,4.0,-5,-6,1
22,39,-1,21,-7,3.1250000000000004,11,6,5
22,40,1,20,-10,5.5,-5,-2,3
22,41,-1,19,-1,8.625,15,6,9
22,42,1,18,-6,11.0,-11,-6,5
22,43,-1,17,7,7.749999999999999,10,6,4
22,44,1,16,4,7.125,-6,-4,2
22,45,-1,15,7,9.0,11,6,5
22,46,1,14,-6,7.625000000000001,-9,-6,3
22,47,-1,13,-3,9.0,10,6,4
22,48,1,12,-6,8.875,-6,-4,2
22,49,-1,11,-1,9.625,6,6,0
22,50,1,10,-6,8.875,-5,-6,1
22,51,-1,9,5,15.124999999999998,6,8,2
22,52,1,8,2,12.750000000000002,-3,-8,5
22,53,-1,7,13,15.124999999999998,11,8,3
22,54,1,6,-2,5.749999999999999,-4,-8,4
22,55,-1,5,3,7.375,9,8,1
22,56,1,4,-4,4.750000000000001,-10,-8,2
22,57,-1,3,5,4.625,16,8,8
22,58,1,2,-2,4.375,-8,-8,0
22,59,-1,1,1,6.625000000000001,8,8,0
22,60,1,0,-8,6.499999999999999,-8,-8,0
23,0,1,60,0,0.0,-4,-1,3
23,1,-1,59,3,1.1249999999999998,4,-1,5
23,2,1,58,0,0.0,-2,0,2
23,3,-1,57,3,1.2500000000000002,5,0,5
23,4,1,56,0,0.37499999999999994,-1,-1,0
23,5,-1,55,3,1.2500000000000002,3,0,3
23,6,1,54,0,0.37499999999999994,1,-1,2
23,7,-1,53,3,2.125,2,0,2
23,8,1,52,-4,3.2499999999999996,7,3,4
23,9,-1,51,-1,3.5,-1,-3,2
23,10,1,50,-4,6.875,1,2,1
23,11,-1,49,-1,6.499999999999999,-2,-3,1
23,12,1,48,-4,6.875,2,2,0
23,13,-1,47,1,4.0,0,-4,4
23,14,1,46,-6,8.625,2,1,1
23,15,-1,45,-3,7.749999999999999,-1,-4,3
23,16,1,44,-6,8.625,5,1,4
23,17,-1,43,1,7.249999999999999,-2,-2,0
23,18,1,42,-2,8.125,1,2,1
23,19,-1,41,1,9.0,-2,-4,2
23,20,1,40,-2,6.625000000000001,1,1,0
23,21,-1,39,7,9.249999999999998,-3,-3,0
23,22,1,38,2,6.625000000000001,6,3,3
23,23,-1,37,9,3.5,-2,-5,3
23,24,1,36,4,2.75,4,3,1
23,25,-1,35,7,2.125,-3,-4,1
23,26,1,34,0,3.7500000000000004,5,2,3
23,27,-1,33,3,2.875,-1,-4,3
23,28,1,32,-2,5.25,1,2,1
23,29,-1,31,7,4.125000000000001,1,-3,4
23,30,1,30,4,4.25,0,4,4
23,31,-1,29,7,4.375,1,-4,5
23,32,1,28,2,8.625,-1,4,5
23,33,-1,27,5,8.5,3,-4,7
23,34,1,26,-4,9.125,5,8,3
23,35,-1,25,5,2.9999999999999996,-3,2,5
23,36,1,24,2,2.3749999999999996,8,16,8
23,37,-1,23,9,5.000000000000001,-8,-16,8
23,38,1,22,4,6.125,9,16,7
23,39,-1,21,9,5.749999999999999,-9,-16,7
23,40,1,20,0,6.125,12,16,4
23,41,-1,19,3,7.249999999999999,-13,-16,3
23,42,1,18,-10,8.125,14,18,4
23,43,-1,17,-3,5.5,-7,-18,11
23,44,1,16,-6,4.375,14,20,6
23,45,-1,15,-3,4.625,-17,-20,3
23,46,1,14,-12,13.75,21,26,5
23,47,-1,13,-9,12.375,-22,-26,4
23,48,1,12,-14,14.749999999999998,23,32,9
23,49,-1,11,1,17.999999999999996,-21,-24,3
23,50,1,10,-6,19.75,21,24,3
23,51,-1,9,7,14.625000000000002,-14,-8,6
23,52,1,8,-2,18.375000000000004,23,26,3
23,53,-1,7,5,17.625,-18,-26,8
23,54,1,6,-6,14.25,31,28,3
23,55,-1,5,15,8.125,-31,-28,3
23,56,1,5,15,8.125,31,28,3
23,57,-1,4,20,8.75,-27,-26,1
23,58,1,3,17,8.625,24,26,2
23,59,-1,2,32,20.875000000000004,-26,-26,0
23,60,1,1,25,17.25,28,28,0
23,61,-1,0,28,20.500000000000004,-28,-28,0
24,0,1,60,0,0.0,-4,-1,3
24,1,-1,59,3,1.1249999999999998,4,-1,5
24,2,1,58,0,0.37499999999999994,-2,0,2
24,3,-1,57,3,1.7500000000000002,2,-1,3
24,4,1,56,-2,0.37499999999999994,0,0,0
24,5,-1,55,1,0.5000000000000001,3,-1,4
24,6,1,54,-2,0.6250000000000001,1,2,1
24,7,-1,53,1,1.0,2,-4,6
24,8,1,52,-4,1.6249999999999998,3,1,2
24,9,-1,51,1,0.37499999999999994,-1,-4,3
24,10,1,50,-2,1.2500000000000002,4,6,2
24,11,-1,49,1,0.37499999999999994,-4,-7,3
24,12,1,48,-2,1.2500000000000002,6,8,2
24,13,-1,47,1,0.37499999999999994,-6,-9,3
24,14,1,46,-4,1.2500000000000002,8,7,1
24,15,-1,45,-1,2.125,-7,-10,3
24,16,1,44,-8,6.75,9,7,2
24,17,-1,43,-5,6.125,-7,-10,3
24,18,1,42,-10,8.75,9,8,1
24,19,-1,41,-5,9.375,-6,-10,4
24,20,1,40,-8,9.499999999999998,9,8,1
24,21,-1,39,-1,6.374999999999999,-6,-3,3
24,22,1,38,-4,6.75,3,1,2
24,23,-1,37,7,8.375,-1,6,7
24,24,1,36,0,9.249999999999998,11,-3,14
24,25,-1,35,3,11.125,-9,2,11
24,26,1,34,0,13.25,5,-3,8
24,27,-1,33,9,5.875000000000001,-2,2,4
24,28,1,32,6,7.249999999999999,9,-1,10
24,29,-1,31,9,6.125,-3,2,5
24,30,1,30,0,8.375,13,6,7
24,31,-1,29,7,7.5,2,10,8
24,32,1,28,0,10.749999999999998,9,-6,15
24,33,-1,27,11,10.875,0,12,12
24,34,1,26,8,12.25,1,-12,13
24,35,-1,25,13,11.624999999999998,7,12,5
24,36,1,24,10,10.875,-6,-12,6
24,37,-1,23,17,12.999999999999998,8,14,6
24,38,1,22,12,14.125,-8,-14,6
24,39,-1,21,21,12.25,12,16,4
24,40,1,20,16,11.875,-11,-16,5
24,41,-1,19,21,12.750000000000002,15,16,1
24,42,1,18,18,13.124999999999998,-5,-12,7
24,43,-1,17,23,18.750000000000004,7,12,5
24,44,1,16,20,19.375,-3,-6,3
24,45,-1,15,25,20.25,5,12,7
24,46,1,14,12,9.125,3,-12,15
24,47,-1,13,19,10.000000000000002,2,26,24
24,48,1,12,16,7.875,-2,-26,24
24,49,-1,11,25,15.000000000000002,1,26,25
24,50,1,10,14,12.25,-3,-26,23
24,51,-1,9,17,11.5,12,32,20
24,52,1,8,12,12.375,-1,-28,27
