parent_obf,n_children,bytes,mean_lb,mean_ub,min_lb,max_ub,median_lb,median_ub,exact_count,exact_fraction,parse_errors
--------------------X-----OXOX---OOOO-X--XOOO------------------- X;,713134,65570470,-63.436349970692746,-5.880757333123929,-64,64,-64,-4,710871,0.9968266833442242,0
--------------------X-----OXOX---OOOX-X--XOO-------O------------ X;,489129,44951581,-63.37770199681474,-6.224881370763132,-64,64,-64,-4,484736,0.9910187292104946,0
--------------------X-----OXXXX--OOOO-----XOOO------------------ X;,2894305,266177202,-63.56161047298056,-5.683006110275178,-64,64,-64,-4,2879468,0.9948737261622393,0
--------------------X-----OXXXX--OOOO----XOOO------------------- X;,497373,45522231,-62.130736891628615,-9.809239745623506,-64,64,-64,-4,494185,0.9935903235599841,0
--------------------X-----OXXXX--XXOXX----OOO------------------- X;,555974,50896533,-62.56150827196955,-7.550428617165551,-64,64,-64,-4,554505,0.9973577901124873,0
--------------------X-----XXXO---OOOOO----O-OO-----O------------ X;,2148509,192531978,5.723605532953318,63.94337840800294,-64,64,4,64,2147708,0.9996271833164302,0
--------------------X-----XXXO--OOOOOO-----OOO------------------ X;,2575628,231402329,4.591066334113466,63.9656592489288,-64,64,4,64,2552267,0.9909299790187093,0
--------------------X-----XXXX----XXOOX---XOO------O------------ X;,706299,64788087,-63.196106747992,-6.255533421398019,-64,64,-64,-4,703654,0.996255127077909,0
--------------------X-----XXXXX---XXOO----XOO------O------------ X;,1398024,128502456,-63.49346792329745,-5.464255263142836,-64,64,-64,-4,1394197,0.9972625648772839,0
--------------------X-----XXXXX--OOOO-----XOOO------------------ X;,1481544,136059234,-63.08528670090122,-7.4756281284929775,-64,64,-64,-4,1476661,0.9967041140863856,0
--------------------X----O-XOO----OOOO-----OOO-----O-------O---- X;,466786,41779363,6.615991053716264,63.87326954964374,-64,64,4,64,466679,0.9997707729023578,0
--------------------X----O-XOOOO--OOOO-----OOO------------------ X;,1605617,143769349,5.575967369553262,63.96958676944751,-64,64,4,64,1605382,0.9998536388192203,0
--------------------X----O-XXXX--OOOO----X-OOO------------------ X;,702543,64462459,-63.174265489799204,-7.387835335346021,-64,64,-64,-4,699642,0.9958707153868162,0
--------------------X-X---OXOX---OXOX----X-OO------O------------ X;,508902,46863428,-63.73332783129168,-4.7839191042676195,-64,64,-64,-4,508031,0.9982884720437334,0
--------------------X-X---OXOX--XOXXX---O--XO------------------- X;,178331,16430543,-63.54444824511722,-5.169078847760625,-64,64,-64,-4,177469,0.995166291895408,0
--------------------X-X--XXXOX---OXOOO-----XO------------------- X;,624951,57383255,-63.588919771310074,-5.020462404252493,-64,64,-64,-4,623720,0.9980302455712527,0
--------------------XO-----XOX----XOO-X--XXOOO------------------ X;,557140,51098279,-62.81363571095236,-6.497625372437807,-64,64,-64,-4,555295,0.9966884445561259,0
--------------------XO-----XXO----OXOO----OOO-----OO------------ X;,419757,37474719,7.573941590015176,63.82890338934193,-64,64,4,64,419657,0.9997617669270554,0
--------------------XO-----XXO----OXOO---OOOO------O------------ X;,475149,42448431,7.844080488436259,63.86689859391475,-64,64,4,64,475004,0.9996948325683102,0
--------------------XO----OOXO----OXOO----OOOO------------------ X;,198500,17726165,9.195853904282115,63.6124886649874,-64,64,4,64,198137,0.9981712846347607,0
--------------------XO----XXOX----XOO-X---XOOO------------------ X;,829563,76114792,-62.91734684406127,-6.407184264486242,-64,64,-64,-4,826368,0.9961485746109698,0
