Parsing SERVER log...
  Found 3067 SERVER activations
Parsing CLIENT log...
  Found 3069 CLIENT activations

================================================================================
BILATERAL TIMING ANALYSIS
================================================================================

Time (s)     Period (ms)  Delta (ms)   Target (ms)  Error (ms)   Status
195.95       2000         435          1000         -565         OVERLAP
195.95       2000         445          1000         -555         OVERLAP
197.96       2000         -1565        1000         -2565        OVERLAP
197.96       2000         425          1000         -575         OVERLAP
197.96       2000         425          1000         -575         OVERLAP
199.96       2000         -1575        1000         -2575        OVERLAP
199.96       2000         435          1000         -565         OVERLAP
199.97       2000         425          1000         -575         OVERLAP
201.97       2000         -1575        1000         -2575        OVERLAP
201.97       2000         425          1000         -575         OVERLAP
201.98       2000         415          1000         -585         OVERLAP
203.99       2000         -1595        1000         -2595        OVERLAP
203.99       2000         405          1000         -595         OVERLAP
206.00       2000         -1605        1000         -2605        OVERLAP
206.00       2000         395          1000         -605         OVERLAP
208.00       2000         -1605        1000         -2605        OVERLAP
208.00       2000         395          1000         -605         OVERLAP
210.01       2000         -1615        1000         -2615        OVERLAP
210.01       2000         385          1000         -615         OVERLAP
212.02       2000         -1625        1000         -2625        OVERLAP
212.02       2000         375          1000         -625         OVERLAP
214.03       2000         -1635        1000         -2635        OVERLAP
214.03       2000         365          1000         -635         OVERLAP
215.99       2000         -1595        1000         -2595        OVERLAP
215.99       2000         405          1000         -595         OVERLAP
217.99       2000         -1595        1000         -2595        OVERLAP
217.99       2000         405          1000         -595         OVERLAP
220.00       2000         -1605        1000         -2605        OVERLAP
220.00       2000         395          1000         -605         OVERLAP
222.01       2000         -1615        1000         -2615        OVERLAP
222.01       2000         385          1000         -615         OVERLAP
224.02       2000         -1625        1000         -2625        OVERLAP
224.02       2000         375          1000         -625         OVERLAP
225.98       2000         -1585        1000         -2585        OVERLAP
225.98       2000         415          1000         -585         OVERLAP
227.98       2000         -1585        1000         -2585        OVERLAP
227.98       2000         415          1000         -585         OVERLAP
229.99       2000         -1595        1000         -2595        OVERLAP
229.99       2000         405          1000         -595         OVERLAP
232.00       2000         -1605        1000         -2605        OVERLAP
232.00       2000         395          1000         -605         OVERLAP
234.01       2000         -1615        1000         -2615        OVERLAP
234.01       2000         385          1000         -615         OVERLAP
235.97       2000         -1575        1000         -2575        OVERLAP
235.97       2000         425          1000         -575         OVERLAP
237.97       2000         -1575        1000         -2575        OVERLAP
237.97       2000         425          1000         -575         OVERLAP
239.98       2000         -1585        1000         -2585        OVERLAP
239.98       2000         415          1000         -585         OVERLAP
241.99       2000         -1595        1000         -2595        OVERLAP
241.99       2000         415          1000         -585         OVERLAP
243.96       2000         -1555        1000         -2555        OVERLAP
243.96       2000         445          1000         -555         OVERLAP
245.97       2000         -1565        1000         -2565        OVERLAP
245.97       2000         435          1000         -565         OVERLAP
247.98       2000         -1575        1000         -2575        OVERLAP
247.98       2000         425          1000         -575         OVERLAP
249.98       2000         -1565        1000         -2565        OVERLAP
249.98       2000         425          1000         -575         OVERLAP
251.94       2000         -1525        1000         -2525        OVERLAP
251.94       2000         465          1000         -535         OVERLAP
253.95       2000         -1535        1000         -2535        OVERLAP
253.95       2000         455          1000         -545         OVERLAP
253.95       2000         465          1000         -535         OVERLAP
255.96       2000         -1545        1000         -2545        OVERLAP
255.96       2000         445          1000         -555         OVERLAP
255.96       2000         455          1000         -545         OVERLAP
257.97       2000         -1555        1000         -2555        OVERLAP
257.97       2000         435          1000         -565         OVERLAP
257.97       2000         435          1000         -565         OVERLAP
259.97       2000         -1565        1000         -2565        OVERLAP
259.97       2000         445          1000         -555         OVERLAP
259.98       2000         435          1000         -565         OVERLAP
261.98       2000         -1565        1000         -2565        OVERLAP
261.98       2000         435          1000         -565         OVERLAP
261.99       2000         425          1000         -575         OVERLAP
264.00       2000         -1585        1000         -2585        OVERLAP
264.00       2000         415          1000         -585         OVERLAP
266.01       2000         -1595        1000         -2595        OVERLAP
266.01       2000         405          1000         -595         OVERLAP
268.01       2000         -1595        1000         -2595        OVERLAP
268.01       2000         405          1000         -595         OVERLAP
270.02       2000         -1605        1000         -2605        OVERLAP
270.02       2000         395          1000         -605         OVERLAP
272.03       2000         -1615        1000         -2615        OVERLAP
272.03       2000         385          1000         -615         OVERLAP
274.04       2000         -1625        1000         -2625        OVERLAP
274.04       2000         375          1000         -625         OVERLAP
276.05       2000         -1635        1000         -2635        OVERLAP
276.05       2000         365          1000         -635         OVERLAP
278.05       2000         -1635        1000         -2635        OVERLAP
278.05       2000         365          1000         -635         OVERLAP
280.06       2000         -1645        1000         -2645        OVERLAP
280.06       2000         355          1000         -645         OVERLAP
282.07       2000         -1655        1000         -2655        OVERLAP
282.07       2000         345          1000         -655         OVERLAP
284.08       2000         -1665        1000         -2665        OVERLAP
284.08       2000         335          1000         -665         OVERLAP
286.09       2000         -1675        1000         -2675        OVERLAP
286.09       2000         325          1000         -675         OVERLAP
