Parsing SERVER log (ACTIVE only)...
  Found 2699 SERVER activations
Parsing CLIENT log (ACTIVE only)...
  Found 2699 CLIENT activations

====================================================================================================
BILATERAL PHASE TIMING ANALYSIS (ACTIVE CYCLES ONLY)
====================================================================================================

Time (s)     Period (ms)  CLIENT @     Target @     Phase Err    Status
636.52       2000         +1705        1000         +705         DRIFT
638.52       2000         +1715        1000         +715         DRIFT
640.52       2000         +1675        1000         +675         DRIFT
642.52       2000         +1685        1000         +685         DRIFT
644.52       2000         +1695        1000         +695         DRIFT
646.52       2000         +1695        1000         +695         DRIFT
648.52       2000         +1705        1000         +705         DRIFT
650.52       2000         +1715        1000         +715         DRIFT
652.52       2000         +1675        1000         +675         DRIFT
654.52       2000         +1685        1000         +685         DRIFT
656.52       2000         +1685        1000         +685         DRIFT
658.52       2000         +1695        1000         +695         DRIFT
660.52       2000         +1705        1000         +705         DRIFT
662.53       2000         +1665        1000         +665         DRIFT
664.53       2000         +1675        1000         +675         DRIFT
666.53       2000         +1685        1000         +685         DRIFT
668.53       2000         +1685        1000         +685         DRIFT
670.53       2000         +1695        1000         +695         DRIFT
672.53       2000         +1705        1000         +705         DRIFT
674.53       2000         +1665        1000         +665         DRIFT
676.53       2000         +1675        1000         +675         DRIFT
678.53       2000         +1675        1000         +675         DRIFT
680.53       2000         +1685        1000         +685         DRIFT
682.54       2000         +1685        1000         +685         DRIFT
684.54       2000         +1655        1000         +655         DRIFT
686.54       2000         +1655        1000         +655         DRIFT
688.54       2000         +1665        1000         +665         DRIFT
690.54       2000         +1675        1000         +675         DRIFT
692.54       2000         +1685        1000         +685         DRIFT
694.54       2000         +1695        1000         +695         DRIFT
696.54       2000         +1645        1000         +645         DRIFT
698.54       2000         +1655        1000         +655         DRIFT
700.54       2000         +1665        1000         +665         DRIFT
702.54       2000         +1675        1000         +675         DRIFT
704.54       2000         +1685        1000         +685         DRIFT
706.54       2000         +1685        1000         +685         DRIFT
708.54       2000         +1645        1000         +645         DRIFT
710.54       2000         +1655        1000         +655         DRIFT
712.54       2000         +1665        1000         +665         DRIFT
714.54       2000         +1675        1000         +675         DRIFT
716.54       2000         +1675        1000         +675         DRIFT
718.54       2000         +1685        1000         +685         DRIFT
720.54       2000         +1645        1000         +645         DRIFT
722.55       2000         +1655        1000         +655         DRIFT
724.55       2000         +1665        1000         +665         DRIFT
726.55       2000         +1675        1000         +675         DRIFT
728.55       2000         +1635        1000         +635         DRIFT
730.55       2000         +1645        1000         +645         DRIFT
732.55       2000         +1655        1000         +655         DRIFT
734.55       2000         +1655        1000         +655         DRIFT
736.55       2000         +1665        1000         +665         DRIFT
738.55       2000         +1675        1000         +675         DRIFT
740.55       2000         +1685        1000         +685         DRIFT
742.56       2000         +1685        1000         +685         DRIFT
744.56       2000         +1695        1000         +695         DRIFT
746.56       2000         +1705        1000         +705         DRIFT
748.56       2000         +1715        1000         +715         DRIFT
750.56       2000         +1675        1000         +675         DRIFT
752.56       2000         +1675        1000         +675         DRIFT
754.56       2000         +1685        1000         +685         DRIFT
756.56       2000         +1695        1000         +695         DRIFT
758.56       2000         +1705        1000         +705         DRIFT
760.56       2000         +1715        1000         +715         DRIFT
762.56       2000         +1715        1000         +715         DRIFT
764.56       2000         +1675        1000         +675         DRIFT
766.56       2000         +1685        1000         +685         DRIFT
768.56       2000         +1695        1000         +695         DRIFT
770.56       2000         +1705        1000         +705         DRIFT
772.56       2000         +1705        1000         +705         DRIFT
774.56       2000         +1715        1000         +715         DRIFT
776.56       2000         +1675        1000         +675         DRIFT
778.56       2000         +1685        1000         +685         DRIFT
780.56       2000         +1695        1000         +695         DRIFT
782.57       2000         +1695        1000         +695         DRIFT
784.57       2000         +1705        1000         +705         DRIFT
786.57       2000         +1665        1000         +665         DRIFT
788.57       2000         +1675        1000         +675         DRIFT
790.57       2000         +1685        1000         +685         DRIFT
792.57       2000         +1695        1000         +695         DRIFT
794.57       2000         +1695        1000         +695         DRIFT
796.57       2000         +1655        1000         +655         DRIFT
798.57       2000         +1665        1000         +665         DRIFT
800.57       2000         +1675        1000         +675         DRIFT
802.58       2000         +1675        1000         +675         DRIFT
804.58       2000         +1685        1000         +685         DRIFT
806.58       2000         +1645        1000         +645         DRIFT
808.58       2000         +1655        1000         +655         DRIFT
810.58       2000         +1665        1000         +665         DRIFT
812.58       2000         +1665        1000         +665         DRIFT
814.58       2000         +1675        1000         +675         DRIFT
816.58       2000         +1685        1000         +685         DRIFT
818.58       2000         +1645        1000         +645         DRIFT
820.58       2000         +1655        1000         +655         DRIFT
822.58       2000         +1655        1000         +655         DRIFT
824.58       2000         +1665        1000         +665         DRIFT
826.58       2000         +1675        1000         +675         DRIFT
828.58       2000         +1685        1000         +685         DRIFT
830.58       2000         +1695        1000         +695         DRIFT
832.58       2000         +1645        1000         +645         DRIFT
834.58       2000         +1655        1000         +655         DRIFT
836.58       2000         +1665        1000         +665         DRIFT
838.58       2000         +1675        1000         +675         DRIFT
840.58       2000         +1685        1000         +685         DRIFT
842.59       2000         +1685        1000         +685         DRIFT
844.59       2000         +1645        1000         +645         DRIFT
846.59       2000         +1655        1000         +655         DRIFT
848.59       2000         +1665        1000         +665         DRIFT
850.59       2000         +1675        1000         +675         DRIFT
852.59       2000         +1635        1000         +635         DRIFT
854.59       2000         +1635        1000         +635         DRIFT
856.59       2000         +1645        1000         +645         DRIFT
858.59       2000         +1655        1000         +655         DRIFT
860.59       2000         +1665        1000         +665         DRIFT
862.59       2000         +1675        1000         +675         DRIFT
864.60       2000         +1675        1000         +675         DRIFT
866.60       2000         +1685        1000         +685         DRIFT
868.60       2000         +1695        1000         +695         DRIFT
870.60       2000         +1655        1000         +655         DRIFT
872.60       2000         +1655        1000         +655         DRIFT
874.60       2000         +1665        1000         +665         DRIFT
876.60       2000         +1675        1000         +675         DRIFT
878.60       2000         +1685        1000         +685         DRIFT
880.60       2000         +1695        1000         +695         DRIFT
882.60       2000         +1645        1000         +645         DRIFT
884.60       2000         +1655        1000         +655         DRIFT
886.60       2000         +1665        1000         +665         DRIFT
888.60       2000         +1675        1000         +675         DRIFT
890.60       2000         +1685        1000         +685         DRIFT
892.60       2000         +1685        1000         +685         DRIFT
894.60       2000         +1645        1000         +645         DRIFT
896.60       2000         +1655        1000         +655         DRIFT
898.60       2000         +1665        1000         +665         DRIFT
900.60       2000         +1675        1000         +675         DRIFT
902.61       2000         +1675        1000         +675         DRIFT
904.61       2000         +1635        1000         +635         DRIFT
906.61       2000         +1645        1000         +645         DRIFT
908.61       2000         +1655        1000         +655         DRIFT
910.61       2000         +1665        1000         +665         DRIFT
912.61       2000         +1675        1000         +675         DRIFT
914.61       2000         +1675        1000         +675         DRIFT
916.61       2000         +1685        1000         +685         DRIFT
918.61       2000         +1695        1000         +695         DRIFT
920.61       2000         +1705        1000         +705         DRIFT
922.61       2000         +1665        1000         +665         DRIFT
924.62       2000         +1665        1000         +665         DRIFT
926.62       2000         +1675        1000         +675         DRIFT
928.62       2000         +1685        1000         +685         DRIFT
930.62       2000         +1695        1000         +695         DRIFT
932.62       2000         +1645        1000         +645         DRIFT
934.62       2000         +1655        1000         +655         DRIFT
936.62       2000         +1665        1000         +665         DRIFT
938.62       2000         +1675        1000         +675         DRIFT
940.62       2000         +1685        1000         +685         DRIFT
942.62       2000         +1685        1000         +685         DRIFT
944.62       2000         +1645        1000         +645         DRIFT
946.62       2000         +1655        1000         +655         DRIFT
948.62       2000         +1665        1000         +665         DRIFT
950.62       2000         +1675        1000         +675         DRIFT
952.62       2000         +1675        1000         +675         DRIFT
954.62       2000         +1685        1000         +685         DRIFT
956.62       2000         +1645        1000         +645         DRIFT
958.62       2000         +1655        1000         +655         DRIFT
960.62       2000         +1665        1000         +665         DRIFT
962.63       2000         +1665        1000         +665         DRIFT
964.63       2000         +1685        1000         +685         DRIFT
966.63       2000         +1635        1000         +635         DRIFT
968.63       2000         +1645        1000         +645         DRIFT
970.63       2000         +1655        1000         +655         DRIFT
972.63       2000         +1665        1000         +665         DRIFT
974.63       2000         +1675        1000         +675         DRIFT
976.63       2000         +1675        1000         +675         DRIFT
978.63       2000         +1685        1000         +685         DRIFT
980.63       2000         +1695        1000         +695         DRIFT
982.63       2000         +1705        1000         +705         DRIFT
984.64       2000         +1655        1000         +655         DRIFT
986.64       2000         +1665        1000         +665         DRIFT
988.64       2000         +1675        1000         +675         DRIFT
990.64       2000         +1685        1000         +685         DRIFT
992.64       2000         +1695        1000         +695         DRIFT
994.64       2000         +1645        1000         +645         DRIFT
996.64       2000         +1655        1000         +655         DRIFT
998.64       2000         +1665        1000         +665         DRIFT
1000.64      2000         +1675        1000         +675         DRIFT
1002.64      2000         +1685        1000         +685         DRIFT
1004.64      2000         +1685        1000         +685         DRIFT
1006.64      2000         +1645        1000         +645         DRIFT
1008.64      2000         +1655        1000         +655         DRIFT
1010.64      2000         +1665        1000         +665         DRIFT
1012.64      2000         +1675        1000         +675         DRIFT
1014.64      2000         +1675        1000         +675         DRIFT
1016.64      2000         +1685        1000         +685         DRIFT
1018.64      2000         +1645        1000         +645         DRIFT
1020.64      2000         +1655        1000         +655         DRIFT
1022.65      2000         +1665        1000         +665         DRIFT
