Parsing SERVER log...
  Found 3350 SERVER activations
Parsing CLIENT log...
  Found 3340 CLIENT activations

================================================================================
BILATERAL TIMING ANALYSIS
================================================================================

Time (s)     Period (ms)  Delta (ms)   Target (ms)  Error (ms)   Status
315.05       2000         -1105        1000         -2105        OVERLAP
315.05       2000         905          1000         -95          OVERLAP
317.05       2000         -1095        1000         -2095        OVERLAP
317.05       2000         865          1000         -135         OVERLAP
319.05       2000         -1135        1000         -2135        OVERLAP
319.05       2000         865          1000         -135         OVERLAP
321.05       2000         -1135        1000         -2135        OVERLAP
321.05       2000         875          1000         -125         OVERLAP
323.05       2000         -1125        1000         -2125        OVERLAP
323.05       2000         885          1000         -115         OVERLAP
325.05       2000         -1115        1000         -2115        OVERLAP
325.05       2000         845          1000         -155         OVERLAP
327.05       2000         -1155        1000         -2155        OVERLAP
327.05       2000         855          1000         -145         OVERLAP
329.05       2000         -1145        1000         -2145        OVERLAP
329.05       2000         855          1000         -145         OVERLAP
331.06       2000         -1155        1000         -2155        OVERLAP
331.06       2000         805          1000         -195         OVERLAP
331.07       2000         795          1000         -205         OVERLAP
333.06       2000         -1195        1000         -2195        OVERLAP
333.06       2000         825          1000         -175         OVERLAP
333.08       2000         815          1000         -185         OVERLAP
335.07       2000         -1175        1000         -2175        OVERLAP
335.07       2000         925          1000         -75          OVERLAP
335.09       2000         915          1000         -85          OVERLAP
337.08       2000         -1075        1000         -2075        OVERLAP
337.08       2000         945          1000         -55          OVERLAP
337.10       2000         935          1000         -65          OVERLAP
339.09       2000         -1055        1000         -2055        OVERLAP
339.09       2000         975          1000         -25          WARNING
341.09       2000         -1025        1000         -2025        OVERLAP
341.09       2000         1005         1000         +5           GOOD
343.09       2000         -985         1000         -1985        OVERLAP
343.09       2000         1025         1000         +25          WARNING
345.09       2000         -975         1000         -1975        OVERLAP
345.09       2000         1035         1000         +35          WARNING
347.09       2000         -965         1000         -1965        OVERLAP
347.09       2000         1035         1000         +35          WARNING
349.09       2000         -965         1000         -1965        OVERLAP
349.09       2000         1045         1000         +45          WARNING
351.09       2000         -955         1000         -1955        OVERLAP
351.09       2000         1005         1000         +5           GOOD
353.09       2000         -995         1000         -1995        OVERLAP
353.09       2000         1015         1000         +15          WARNING
355.09       2000         -985         1000         -1985        OVERLAP
355.09       2000         1025         1000         +25          WARNING
357.09       2000         -975         1000         -1975        OVERLAP
357.09       2000         1025         1000         +25          WARNING
359.09       2000         -975         1000         -1975        OVERLAP
359.09       2000         985          1000         -15          WARNING
361.09       2000         -1015        1000         -2015        OVERLAP
361.09       2000         995          1000         -5           GOOD
363.10       2000         -1015        1000         -2015        OVERLAP
363.10       2000         1005         1000         +5           GOOD
365.10       2000         -995         1000         -1995        OVERLAP
365.10       2000         965          1000         -35          WARNING
367.10       2000         -1035        1000         -2035        OVERLAP
367.10       2000         975          1000         -25          WARNING
369.10       2000         -1025        1000         -2025        OVERLAP
369.10       2000         975          1000         -25          WARNING
371.10       2000         -1025        1000         -2025        OVERLAP
371.10       2000         985          1000         -15          WARNING
373.10       2000         -1015        1000         -2015        OVERLAP
373.10       2000         945          1000         -55          OVERLAP
375.10       2000         -1055        1000         -2055        OVERLAP
375.10       2000         955          1000         -45          WARNING
377.10       2000         -1045        1000         -2045        OVERLAP
377.10       2000         965          1000         -35          WARNING
379.10       2000         -1035        1000         -2035        OVERLAP
379.10       2000         965          1000         -35          WARNING
381.10       2000         -1035        1000         -2035        OVERLAP
381.10       2000         925          1000         -75          OVERLAP
383.10       2000         -1075        1000         -2075        OVERLAP
383.10       2000         935          1000         -65          OVERLAP
385.10       2000         -1065        1000         -2065        OVERLAP
385.10       2000         945          1000         -55          OVERLAP
387.10       2000         -1055        1000         -2055        OVERLAP
387.10       2000         955          1000         -45          WARNING
389.10       2000         -1045        1000         -2045        OVERLAP
389.10       2000         905          1000         -95          OVERLAP
391.10       2000         -1095        1000         -2095        OVERLAP
391.10       2000         915          1000         -85          OVERLAP
391.12       2000         895          1000         -105         OVERLAP
393.11       2000         -1095        1000         -2095        OVERLAP
393.11       2000         925          1000         -75          OVERLAP
393.13       2000         915          1000         -85          OVERLAP
395.12       2000         -1075        1000         -2075        OVERLAP
395.12       2000         945          1000         -55          OVERLAP
395.13       2000         945          1000         -55          OVERLAP
397.13       2000         -1055        1000         -2055        OVERLAP
397.13       2000         965          1000         -35          WARNING
397.14       2000         965          1000         -35          WARNING
399.13       2000         -1025        1000         -2025        OVERLAP
399.13       2000         995          1000         -5           GOOD
399.15       2000         985          1000         -15          WARNING
401.14       2000         -1005        1000         -2005        OVERLAP
401.14       2000         1025         1000         +25          WARNING
403.15       2000         -985         1000         -1985        OVERLAP
403.15       2000         1035         1000         +35          WARNING
405.15       2000         -965         1000         -1965        OVERLAP
405.15       2000         1035         1000         +35          WARNING
407.15       2000         -965         1000         -1965        OVERLAP
407.15       2000         1045         1000         +45          WARNING
409.15       2000         -955         1000         -1955        OVERLAP
409.15       2000         1005         1000         +5           GOOD
411.15       2000         -995         1000         -1995        OVERLAP
411.15       2000         1015         1000         +15          WARNING
413.15       2000         -985         1000         -1985        OVERLAP
413.15       2000         1025         1000         +25          WARNING
415.15       2000         -975         1000         -1975        OVERLAP
415.15       2000         1025         1000         +25          WARNING
417.15       2000         -975         1000         -1975        OVERLAP
417.15       2000         985          1000         -15          WARNING
419.15       2000         -1015        1000         -2015        OVERLAP
419.15       2000         995          1000         -5           GOOD
421.15       2000         -1005        1000         -2005        OVERLAP
421.15       2000         1005         1000         +5           GOOD
423.16       2000         -1005        1000         -2005        OVERLAP
423.16       2000         965          1000         -35          WARNING
