ply,move_from,move_to,dist_prev,cos_prev,dA1,E_A1,E_A2,E_B1,E_B2,E_E,E_F1,E_F2,E_F3,E_FA,E_FD,E_total,eval,clk,nag
75,24,32,2.18,0.9932,0,11.69,4.15,9.73,9.73,46.16,0.264,0.296,1.40,7.50,253,344,2.54,0:14,
76,41,33,3.59,0.9812,1.25,13.87,5.08,9.73,9.73,39.91,0.227,0.156,0.983,7.50,253,340,1.69,0:43,
77,22,30,3.78,0.9792,1.25,11.69,4.15,9.73,9.73,46.16,0.802,0.187,2.50,7.50,253,346,0.00,0:13,??
78,8,13,17.99,0.3187,2.96,11.56,4.02,9.60,9.60,45.66,0.807,0.188,2.46,7.68,0,91.58,0.00,0:41,
79,30,38,16.55,0.4356,0.354,11.69,8.52,9.48,9.48,35.41,0.165,0.019,0.493,6.34,253,335,0.00,0:13,
80,13,9,7.66,0.9123,3.31,15.33,4.88,9.48,9.48,35.41,0.257,0.041,0.632,6.34,253,335,0.00,0:40,
81,38,37,4.21,0.9739,1.25,16.89,3.31,9.17,9.17,37.91,1.58,0.152,5.88,6.34,253,343,-0.13,0:12,
82,9,25,18.75,0.2571,3.52,17.12,2.83,9.04,9.04,37.41,2.63,6.83,17.46,4.27,0,107,0.00,0:33,
83,28,25,476,-0.0044,4.68,3.08,9.58,5.40,5.40,22.83,0.517,3.09,5.22,4.27,226048,226108,0.00,0:11,
84,33,25,476,0.0011,1.91,2.81,2.56,1.75,1.75,8.25,0.032,0.143,0.303,4.27,0,21.87,0.00,0:33,
85,20,28,1.69,0.9345,0.612,2.31,1.81,2.06,2.06,8.25,0.066,0.146,0.446,4.48,0,21.64,-0.01,0:11,
86,42,34,2.21,0.8853,0.612,1.56,2.56,2.06,2.06,8.25,0.035,2.79e-03,0.143,4.40,0,21.08,-0.03,0:33,
87,28,36,1.64,0.9354,0,1.56,2.56,2.06,2.06,8.25,0.035,2.79e-03,0.143,3.92,0,20.60,0.00,0:11,
88,34,26,1.93,0.9101,0,1.56,1.31,2.06,2.06,10.75,0.035,2.79e-03,0.143,2.79,0,20.72,0.00,0:33,
89,36,44,2.06,0.9035,0.612,1.81,1.06,2.06,2.06,10.75,0.035,2.79e-03,0.143,4.94,0,22.87,0.00,0:10,
90,26,18,1.78,0.9287,0.612,2.81,1.31,2.06,2.06,8.25,0.035,2.79e-03,0.143,4.84,0,21.52,0.00,0:33,
91,44,52,2.41,0.8639,0.500,1.56,2.56,2.06,2.06,8.25,0,0,0,4.60,0,21.10,-0.01,0:09,
92,18,10,1.81,0.9256,0.612,1.44,2.69,2.06,2.06,8.25,0.032,0.143,0.303,5.46,0,22.44,-0.09,0:33,
93,52,60,1392,0.0031,3.13,13.82,13.82,10.52,10.52,46.47,0.032,0.143,0.303,2.35,1936358,1936456,-0.04,0:09,
94,10,2,1392,0.0053,3.13,25.57,25.57,18.97,18.97,84.69,0.032,0.143,0.303,2.21,0,176,0.00,0:33,
95,60,59,12.53,0.5552,0,25.57,21.17,20.07,20.07,84.69,0.162,1.39,0.976,2.21,0,176,0.00,0:07,
96,2,34,13.83,0.4978,4.40,17.87,24.47,21.17,21.17,84.69,3.13,9.10,19.75,2.21,0,204,0.00,0:31,
97,37,28,5.40,0.9300,1.53,24.15,18.19,21.17,21.17,84.69,8.31,11.74,19.74,2.21,0,211,0.00,0:06,
