fen4,source,encoding_sha256,l2_norm
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,3,0,0; R@2,2,2,2; r@2,3,0,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,5,4,5",self_play,25572a88288cbcc8e6a95bd5ca1c7337392fa944d6d41c04e169afb66f7c8c58,64.33697509765625
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,1; R@2,2,2,2; r@2,3,0,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,5,4,5",self_play,42da9b456e523f488db555ce14123a67cee2937663a1ec1f252ba8fff53d8e75,64.94609832763672
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,1; R@2,2,2,2; r@2,3,4,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,5,4,5",self_play,ef19ccb53051565b1e57a876c7f3c0dcbc117c324c6bf4e5b3780120cbce8aca,62.99254608154297
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,7,0,2; R@2,2,2,2; r@2,3,4,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,5,4,5",self_play,0776dd0108f582b311fa0885196115cb278e84b8487e681e90ee3623969f6df2,64.00242614746094
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,7,0,2; R@2,2,2,2; r@2,3,4,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,3,5,5",self_play,787470a088c325d2250b6708ebee9d4911c1ff483c42f5be72ff195c128e66b2,64.23052978515625
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,2,2,2; r@2,3,4,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,3,5,5",self_play,2108280258e63b8cf1af2f3c5ffecb965b86f74480bd072694bf605336429d8b,63.22410583496094
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,2,2,2; r@2,6,4,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,3,5,5",self_play,29ad5c57db9ba0c058dd8b723eaf401129a7a0e5959463bbce533743ac7155e4,63.667396545410156
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,2,2,7; r@2,6,4,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,3,5,5",self_play,0ee4f3f9b2ecfa66a29a3929b740f87c111df381b02be38d10bfab757d89ec93,67.1100845336914
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,2,2,7; r@2,6,4,6; b@4,7,7,7; q@6,5,5,6; k@6,6,7,6; B@7,0,0,4; n@7,3,5,5",self_play,5f2edbed9d0a9e3d56baf2859930c221a98719482cca788beda5d0b24b23dc47,67.1220703125
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,2,2,7; r@2,6,4,6; b@4,7,7,7; q@6,5,5,6; k@6,6,7,6; B@7,3,3,4; n@7,3,5,5",self_play,4fb7acf47e0bc91f7fa5816eb9ab77502ef262bfcb25b931f6c9101fcebaa786,65.21460723876953
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,2,2,7; r@2,6,4,6; b@4,7,7,7; q@6,5,5,6; k@6,6,7,6; n@7,1,6,5; B@7,3,3,4",self_play,ab5951d3f6c68286672f7d55d038dc2a97dbfba4b99e1514bb272265702647c1,66.08291625976562
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,4,2,7; r@2,6,4,6; b@4,7,7,7; q@6,5,5,6; k@6,6,7,6; n@7,1,6,5; B@7,3,3,4",self_play,433cf6d0232c2dd820dd970f796a8421d6739f6289ce23ed9ba481fe923ede2a,65.7015380859375
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,4,2,7; r@2,6,4,6; b@4,7,7,7; k@5,6,7,5; q@6,5,5,6; n@7,1,6,5; B@7,3,3,4",self_play,f9a4ebdbf8ff53c0841a5e3471ca96996172485db825bf0651e3cf1c4d4366a5,67.8468246459961
